Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,embryo_number,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SAMPLE_TYPE,source_name,SRA Study
SRR5710348,RNA-Seq,202,2922815770,PRJNA392971,SAMN07251986,1199731927,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930957,GSM2672034,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672034,Single cell,Human Embryo,SRP113531
SRR5710349,RNA-Seq,202,3316650120,PRJNA392971,SAMN07252036,1369495039,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930958,GSM2672035,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672035,Single cell,Human Embryo,SRP113531
SRR5710350,RNA-Seq,202,1651872170,PRJNA392971,SAMN07252035,661950774,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930959,GSM2672036,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672036,Single cell,Human Embryo,SRP113531
SRR5710351,RNA-Seq,202,1714141296,PRJNA392971,SAMN07252034,683415232,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930960,GSM2672037,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672037,Single cell,Human Embryo,SRP113531
SRR5710352,RNA-Seq,202,2733219176,PRJNA392971,SAMN07252033,1120882601,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930961,GSM2672038,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672038,Single cell,Human Embryo,SRP113531
SRR5710353,RNA-Seq,202,2555603808,PRJNA392971,SAMN07252032,1054041058,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930962,GSM2672039,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672039,Single cell,Human Embryo,SRP113531
SRR5710354,RNA-Seq,202,2986039952,PRJNA392971,SAMN07252031,1227884659,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930963,GSM2672040,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672040,Single cell,Human Embryo,SRP113531
SRR5710355,RNA-Seq,202,2865420500,PRJNA392971,SAMN07252030,1175781900,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930964,GSM2672041,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672041,Single cell,Human Embryo,SRP113531
SRR5710356,RNA-Seq,202,2322835774,PRJNA392971,SAMN07252029,948722050,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 2,SRX2930965,GSM2672042,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672042,Single cell,Human Embryo,SRP113531
SRR5710357,RNA-Seq,202,182690820,PRJNA392971,SAMN07252028,59133929,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Blastocyst,Cas9 Injected control 5,SRX2930966,GSM2672043,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-21T00:00:00Z,GSM2672043,Single cell,Human Embryo,SRP113531
