Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Developmental_stage,Tissue,treated_with,Development_stage,Cell_type
SRR6940540,ATAC-seq,250,18810191750,PRJNA394846,SAMN08865390,8715198489,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3884851,GSM3081008,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM3081008,human embryo,SRP112718,,,,ICM,
SRR6940541,ATAC-seq,300,60315772200,PRJNA394846,SAMN08865390,24698329898,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3884851,GSM3081008,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM3081008,human embryo,SRP112718,,,,ICM,
SRR6940542,ATAC-seq,250,21800586750,PRJNA394846,SAMN08865389,9295932456,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3884852,GSM3081009,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM3081009,human embryo,SRP112718,,,,ICM,
SRR6940543,ATAC-seq,300,16916247300,PRJNA394846,SAMN08865389,7057978701,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3884852,GSM3081009,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM3081009,human embryo,SRP112718,,,,ICM,
SRR6940544,RNA-Seq,300,5846847300,PRJNA394846,SAMN08865388,2323893839,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3884853,GSM3081010,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM3081010,human embryo,SRP112718,,,,,hESC
SRR6940545,RNA-Seq,300,4957288800,PRJNA394846,SAMN08865387,2000240298,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3884854,GSM3081011,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM3081011,human embryo,SRP112718,,,,,hESC
SRR6961739,ATAC-seq,300,8028089700,PRJNA394846,SAMN07422274,3317089939,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3045632,GSM2721905,Illumina HiSeq 2000,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2721905,Embryonic stem cell,SRP112718,Embryonic stem cell,,,,
SRR6985785,ATAC-seq,101,927593494,PRJNA394846,SAMN07361155,399105731,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013879,GSM2706253,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706253,Preimplantation embryo,SRP112718,8-cell,,,,
SRR6985786,ATAC-seq,101,2029486223,PRJNA394846,SAMN07361155,863421999,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3013879,GSM2706253,Illumina HiSeq 2000,SINGLE,other,GENOMIC,Mus musculus,ILLUMINA,2018-05-03T00:00:00Z,GSM2706253,Preimplantation embryo,SRP112718,8-cell,,,,
SRR6501969,ATAC-seq,250,13153330250,PRJNA394846,SAMN08378446,6386538375,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3590800,GSM2942342,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2942342,Preimplantation embryo,SRP112718,8-cell,human embryo,DMSO (control),,
SRR6501970,ATAC-seq,250,12367641000,PRJNA394846,SAMN08378452,5922750674,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3590801,GSM2942343,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2942343,Preimplantation embryo,SRP112718,8-cell,human embryo,DMSO (control),,
SRR6501971,ATAC-seq,250,10214764500,PRJNA394846,SAMN08378451,5003955850,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3590802,GSM2942344,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2942344,Preimplantation embryo,SRP112718,8-cell,human embryo,a-amanitin,,
SRR6501972,ATAC-seq,250,11779239000,PRJNA394846,SAMN08378450,5787347529,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3590803,GSM2942345,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2018-05-03T00:00:00Z,GSM2942345,Preimplantation embryo,SRP112718,8-cell,human embryo,a-amanitin,,
