Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sequencing_batch,source_name,SRA Study,TISSUE
SRR6009948,RNA-Seq,150,765285911,PRJNA401729,SAMN07609025,333909936,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163909,PODXL mutant,GSM2773437,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773437,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009949,RNA-Seq,150,753886885,PRJNA401729,SAMN07609025,328335149,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163909,PODXL mutant,GSM2773437,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773437,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009950,RNA-Seq,150,1298891585,PRJNA401729,SAMN07609025,546694694,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163909,PODXL mutant,GSM2773437,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773437,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009951,RNA-Seq,150,1278024186,PRJNA401729,SAMN07609025,533693985,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163909,PODXL mutant,GSM2773437,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773437,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009952,RNA-Seq,149,247367258,PRJNA401729,SAMN07609044,84420499,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163910,PODXL mutant,GSM2773438,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773438,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009953,RNA-Seq,149,245095671,PRJNA401729,SAMN07609044,83588901,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163910,PODXL mutant,GSM2773438,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773438,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009954,RNA-Seq,149,250762842,PRJNA401729,SAMN07609044,83951347,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163910,PODXL mutant,GSM2773438,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773438,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009955,RNA-Seq,149,250154613,PRJNA401729,SAMN07609044,83221885,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163910,PODXL mutant,GSM2773438,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773438,3/5/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009956,RNA-Seq,150,779349764,PRJNA401729,SAMN07609043,337031244,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163911,PODXL mutant,GSM2773439,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773439,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
SRR6009957,RNA-Seq,150,770240912,PRJNA401729,SAMN07609043,332520480,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3163911,PODXL mutant,GSM2773439,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-09-20T00:00:00Z,GSM2773439,2/26/2015,Human Embryonic stem cells,SRP116899,human pluripotent stem cells
