Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,AssemblyName
SRR6328620,RNA-Seq,98,15171833544,PRJNA415990,SAMN08108177,6937419049,H9,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3428254,GSM2867931,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2867931,Human embryonic stem cells,SRP121791,week 1,GCA_000001405.13
SRR6328621,RNA-Seq,98,14512977584,PRJNA415990,SAMN08108176,6825214528,H9,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3428255,GSM2867932,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2867932,Human embryonic stem cells,SRP121791,week 1,GCA_000001405.13
SRR6328622,RNA-Seq,98,12697567176,PRJNA415990,SAMN08108175,5846500661,H9,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3428256,GSM2867933,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2867933,Human embryonic stem cells,SRP121791,week 2,GCA_000001405.13
SRR6328623,RNA-Seq,98,12989669014,PRJNA415990,SAMN08108174,6008594905,H9,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3428257,GSM2867934,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2867934,Human embryonic stem cells,SRP121791,week 2,GCA_000001405.13
SRR6328624,RNA-Seq,98,10201543338,PRJNA415990,SAMN08108173,5066665561,H9,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3428258,GSM2867935,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2867935,Human embryonic stem cells,SRP121791,week 0,GCA_000001405.13
SRR6328625,RNA-Seq,98,5410602736,PRJNA415990,SAMN08108172,2716918996,H9,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3428259,GSM2867936,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2867936,Human embryonic stem cells,SRP121791,week 5,GCA_000001405.13
SRR6328626,RNA-Seq,98,7126534128,PRJNA415990,SAMN08108178,3537224772,H9,GEO,public,"TenX,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3428260,GSM2867937,Illumina HiSeq 4000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-05-31T00:00:00Z,GSM2867937,Human embryonic stem cells,SRP121791,week 5,GCA_000001405.13
SRR6225360,RNA-Seq,202,15794262638,PRJNA415990,SAMN07839643,5889178436,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333968,GSM2832699,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832699,Induced pluripotent stem cells,SRP121791,week 0,
SRR6225361,RNA-Seq,202,19102550564,PRJNA415990,SAMN07839642,6938294061,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333969,GSM2832700,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832700,Induced pluripotent stem cells,SRP121791,week 0,
SRR6225362,RNA-Seq,202,21639546334,PRJNA415990,SAMN07839641,7929972304,Epi-8919-1A,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3333970,GSM2832701,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pan troglodytes,ILLUMINA,2018-05-31T00:00:00Z,GSM2832701,Induced pluripotent stem cells,SRP121791,week 1,
