Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,undefined,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,undefined,source_name,SRA Study,undefined
SRR6231704,RNA-Seq,200,8324532000,PRJNA416140,SAMN07843306,3635117134,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340132,,GSM2835525,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835525,,Stem cells derived cardimyocytes,SRP122540,
SRR6231705,RNA-Seq,200,8979455600,PRJNA416140,SAMN07843307,3927212033,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340133,,GSM2835526,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835526,,Stem cells derived cardimyocytes,SRP122540,
SRR6231706,RNA-Seq,200,8403876400,PRJNA416140,SAMN07843308,3658321301,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340134,,GSM2835527,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835527,,Stem cells derived cardimyocytes,SRP122540,
SRR6231707,RNA-Seq,200,7559147400,PRJNA416140,SAMN07843309,3356150711,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340135,,GSM2835528,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835528,,Stem cells derived cardimyocytes,SRP122540,
SRR6231708,RNA-Seq,200,5597299400,PRJNA416140,SAMN07843302,2462994658,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340136,,GSM2835529,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835529,,Stem cells derived cardimyocytes,SRP122540,
SRR6231709,RNA-Seq,200,8328400800,PRJNA416140,SAMN07843303,3636856920,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340137,,GSM2835530,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835530,,Stem cells derived cardimyocytes,SRP122540,
SRR6231710,RNA-Seq,200,6883129600,PRJNA416140,SAMN07843310,3016580147,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340138,,GSM2835531,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835531,,Stem cells derived cardimyocytes,SRP122540,
SRR6231711,RNA-Seq,200,6539621800,PRJNA416140,SAMN07843311,2876958961,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340139,,GSM2835532,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835532,,Stem cells derived cardimyocytes,SRP122540,
SRR6231712,RNA-Seq,200,6181674600,PRJNA416140,SAMN07843301,2727441455,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340140,,GSM2835533,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835533,,Stem cells derived cardimyocytes,SRP122540,
SRR6231713,RNA-Seq,200,5088219800,PRJNA416140,SAMN07843314,2218616626,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340141,,GSM2835534,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835534,,Stem cells derived cardimyocytes,SRP122540,
SRR6231714,RNA-Seq,200,6523756600,PRJNA416140,SAMN07843313,2855711927,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340142,,GSM2835535,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835535,,Stem cells derived cardimyocytes,SRP122540,
SRR6231715,RNA-Seq,200,6464967000,PRJNA416140,SAMN07843312,2825103094,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3340143,,GSM2835536,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-02-22T00:00:00Z,GSM2835536,,Stem cells derived cardimyocytes,SRP122540,
