Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,culture_media,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR6745453,RNA-Seq,302,143156175442,PRJNA420514,SAMN08559955,63822245355,Primed HPSCs derived EB,GEO,public,EB differentiation media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3718135,GSM3015985,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM3015985,Day 4 embryoid body,SRP125954
SRR6745454,RNA-Seq,302,39811820742,PRJNA420514,SAMN08559954,19203553216,Primed HPSCs,GEO,public,mTeSR™1 media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3718136,GSM3015986,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM3015986,Primed H1,SRP125954
SRR6745455,RNA-Seq,302,39268761926,PRJNA420514,SAMN08559953,18941229316,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3718137,GSM3015987,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM3015987,Naive-like H1,SRP125954
SRR6335126,RNA-Seq,300,45788086800,PRJNA420514,SAMN08114963,21538844419,Primed HPSCs derived EB,GEO,public,EB differentiation media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434253,GSM2871124,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871124,Day 8 embryoid body,SRP125954
SRR6335127,RNA-Seq,300,148745899800,PRJNA420514,SAMN08114962,66123856631,Primed HPSCs derived EB,GEO,public,EB differentiation media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434254,GSM2871125,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871125,Day 8 embryoid body,SRP125954
SRR6335128,RNA-Seq,300,148782429900,PRJNA420514,SAMN08114961,69030293331,Primed HPSCs derived EB,GEO,public,EB differentiation media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434255,GSM2871126,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871126,Day 8 embryoid body,SRP125954
SRR6335129,RNA-Seq,300,144913593000,PRJNA420514,SAMN08114980,70508491470,Primed HPSCs derived EB,GEO,public,EB differentiation media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434256,GSM2871127,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871127,Day 8 embryoid body,SRP125954
SRR6335130,RNA-Seq,300,46832795400,PRJNA420514,SAMN08114979,22054307072,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434257,GSM2871128,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871128,Day 10 reset H9,SRP125954
SRR6335131,RNA-Seq,300,149193487500,PRJNA420514,SAMN08114978,69503384015,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434258,GSM2871129,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-22T00:00:00Z,GSM2871129,Day 20 reset H9,SRP125954
SRR6335132,RNA-Seq,300,154013735100,PRJNA420514,SAMN08114977,67094574491,Reset HPSCs,GEO,public,RSeTTM media,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3434259,GSM2871130,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-03-07T00:00:00Z,GSM2871130,Day 20 reset H9,SRP125954
