Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Tissue,tissue_source
SRR8569895,RNA-Seq,300,48216027900,PRJNA431392,SAMN10923901,23885587177,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371199,GSM3602352,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602352,tri-vol-d10-180622XA,SRP131258,in vitro cultured post-implantation embryo,
SRR8569896,RNA-Seq,300,48732133200,PRJNA431392,SAMN10923900,24478235777,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371200,GSM3602353,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602353,tri-vol-d10-180622Y,SRP131258,in vitro cultured post-implantation embryo,
SRR8569901,RNA-Seq,300,19816295400,PRJNA431392,SAMN10923937,9848052974,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371205,GSM3602358,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602358,tri-vol-d12-180622XD,SRP131258,in vitro cultured post-implantation embryo,
SRR8569902,RNA-Seq,300,49894216500,PRJNA431392,SAMN10923936,25237738189,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371206,GSM3602359,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602359,tri-vol-d6-180622A,SRP131258,in vitro cultured post-implantation embryo,
SRR8569903,RNA-Seq,300,61783765500,PRJNA431392,SAMN10923935,31660988941,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371207,GSM3602360,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602360,tri-vol-d6-180622B,SRP131258,in vitro cultured post-implantation embryo,
SRR8569904,RNA-Seq,300,53250526800,PRJNA431392,SAMN10923934,27219120836,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371208,GSM3602361,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602361,tri-vol-d6-180622L,SRP131258,in vitro cultured post-implantation embryo,
SRR8569905,RNA-Seq,300,39796811400,PRJNA431392,SAMN10923933,20148678798,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371209,GSM3602362,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602362,tri-vol-d6-180622U,SRP131258,in vitro cultured post-implantation embryo,
SRR8569911,RNA-Seq,300,24421015800,PRJNA431392,SAMN10923927,12686793710,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371215,GSM3602368,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602368,tri-vol-d6-181015N,SRP131258,in vitro cultured post-implantation embryo,
SRR8569919,RNA-Seq,300,62125517400,PRJNA431392,SAMN10923923,31087361454,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371223,GSM3602376,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602376,tri-vol-d8-180622D,SRP131258,in vitro cultured post-implantation embryo,
SRR8569920,RNA-Seq,300,49374079500,PRJNA431392,SAMN10923922,24207049677,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371224,GSM3602377,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-11T00:00:00Z,GSM3602377,tri-vol-d8-180622E,SRP131258,in vitro cultured post-implantation embryo,
