Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_Line,Passages,TISSUE
SRR6996083,RNA-Seq,100,1851007600,PRJNA449954,SAMN08923805,1251955592,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930791,GSM3096389,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096389,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996084,RNA-Seq,100,1843705500,PRJNA449954,SAMN08923805,1244966864,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930791,GSM3096389,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096389,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996085,RNA-Seq,100,1583403600,PRJNA449954,SAMN08923800,1068224995,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930792,GSM3096390,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096390,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996086,RNA-Seq,100,1577264700,PRJNA449954,SAMN08923800,1062417751,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930792,GSM3096390,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096390,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996087,RNA-Seq,100,1874957500,PRJNA449954,SAMN08923796,1265259620,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930793,GSM3096391,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096391,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996088,RNA-Seq,100,1863216500,PRJNA449954,SAMN08923796,1255508779,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930793,GSM3096391,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096391,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996089,RNA-Seq,100,1608069400,PRJNA449954,SAMN08923794,1083671722,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930794,GSM3096392,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096392,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996090,RNA-Seq,100,1598935600,PRJNA449954,SAMN08923794,1075781600,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930794,GSM3096392,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096392,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996091,RNA-Seq,100,3243056800,PRJNA449954,SAMN08923862,1061967073,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930795,GSM3096393,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096393,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
SRR6996092,RNA-Seq,100,4105716900,PRJNA449954,SAMN08923860,1373671866,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3930796,GSM3096394,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-08T00:00:00Z,GSM3096394,Human Embryonic Stem Cells,SRP139860,WA09,47-60,
