Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Passages,Platform,ReleaseDate,Sample Name,source_name,SRA Study,cell_status,chip_anitbody
SRR7079894,RNA-Seq,300,5786775300,PRJNA454105,SAMN08998260,2209328597,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009665,Bach1 knockout,GSM3120562,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120562,Bach1 knockout_hESC_D0,SRP143680,hESC,
SRR7079895,RNA-Seq,300,6079185600,PRJNA454105,SAMN08998259,2261089088,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009666,Bach1 knockout,GSM3120563,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120563,Bach1 knockout_hESC_D0,SRP143680,hESC,
SRR7079896,RNA-Seq,300,6577102200,PRJNA454105,SAMN08998258,2465109407,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009667,Bach1 knockout,GSM3120564,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120564,Bach1 knockout_hESC_D0,SRP143680,hESC,
SRR7079897,RNA-Seq,300,11222165700,PRJNA454105,SAMN08998257,4681026360,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009668,Bach1 knockout,GSM3120565,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120565,Bach1 knockout_hESC_D3,SRP143680,spontaneously differentiation day3,
SRR7079898,RNA-Seq,300,6264614100,PRJNA454105,SAMN08998256,2586216088,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009669,Bach1 knockout,GSM3120566,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120566,Bach1 knockout_hESC_D3,SRP143680,spontaneously differentiation day3,
SRR7079899,RNA-Seq,300,9670105800,PRJNA454105,SAMN08998271,3964280317,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009670,Bach1 knockout,GSM3120567,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120567,Bach1 knockout_hESC_D3,SRP143680,spontaneously differentiation day3,
SRR7079900,RNA-Seq,300,6315849000,PRJNA454105,SAMN08998270,2417582012,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009671,wild type,GSM3120568,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120568,WT_hESC_D0,SRP143680,hESC,
SRR7079901,RNA-Seq,300,6005334600,PRJNA454105,SAMN08998269,2256021166,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009672,wild type,GSM3120569,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120569,WT_hESC_D0,SRP143680,hESC,
SRR7079902,RNA-Seq,300,6335267700,PRJNA454105,SAMN08998268,2390033019,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009673,wild type,GSM3120570,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120570,WT_hESC_D0,SRP143680,hESC,
SRR7079903,RNA-Seq,300,8283229500,PRJNA454105,SAMN08998267,3484008513,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009674,wild type,GSM3120571,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120571,WT_hESC_D3,SRP143680,spontaneously differentiation day3,
SRR7079904,RNA-Seq,300,6040379700,PRJNA454105,SAMN08998266,2498076804,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009675,wild type,GSM3120572,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120572,WT_hESC_D3,SRP143680,spontaneously differentiation day3,
SRR7079905,RNA-Seq,300,9959926500,PRJNA454105,SAMN08998265,4106485209,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009676,wild type,GSM3120573,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120573,WT_hESC_D3,SRP143680,spontaneously differentiation day3,
SRR7079906,ChIP-Seq,300,10218648900,PRJNA454105,SAMN08998264,4009411783,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009677,wild type,GSM3120574,HiSeq X Ten,PAIRED,ChIP,GENOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120574,WT_hESC,SRP143680,,"EZH2 (Cell signaling, cat##5246)"
SRR7079907,ChIP-Seq,300,9852198600,PRJNA454105,SAMN08998263,3922809522,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009678,wild type,GSM3120575,HiSeq X Ten,PAIRED,ChIP,GENOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120575,WT_hESC,SRP143680,,"H3K27me3 (millipore, cat##2699642)"
SRR7079908,ChIP-Seq,300,8267580300,PRJNA454105,SAMN08998262,3367445555,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009679,Bach1 knockout,GSM3120576,HiSeq X Ten,PAIRED,ChIP,GENOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120576,Bach1 knockout_hESC,SRP143680,,"EZH2 (Cell signaling, cat##5246)"
SRR7079909,ChIP-Seq,300,10483159200,PRJNA454105,SAMN08998261,4152199611,embryonic stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4009680,Bach1 knockout,GSM3120577,HiSeq X Ten,PAIRED,ChIP,GENOMIC,Homo sapiens,30-60,ILLUMINA,2019-03-28T00:00:00Z,GSM3120577,Bach1 knockout_hESC,SRP143680,,"H3K27me3 (millipore, cat##2699642)"
