Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_subtype,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PASSAGE,Platform,ReleaseDate,Sample Name,source_name,SRA Study,insulin_supplement,Cell_Line
SRR7130979,RNA-Seq,290,4648682251,PRJNA464429,SAMN09090118,2053231181,CD31+CD34+CD43+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051976,GSM3136661,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P72,ILLUMINA,2018-12-17T00:00:00Z,GSM3136661,H1_CD43+,SRP144905,,H1
SRR7130980,RNA-Seq,291,5902454114,PRJNA464429,SAMN09090116,2593554170,CD31+CD34+CD43+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051977,GSM3136662,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P72,ILLUMINA,2018-12-17T00:00:00Z,GSM3136662,H1_CD43+,SRP144905,,H1
SRR7130981,RNA-Seq,288,1373770302,PRJNA464429,SAMN09090115,608537023,CD31+CD34+CD43-,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051978,GSM3136663,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P72,ILLUMINA,2018-12-17T00:00:00Z,GSM3136663,H1_CD43-,SRP144905,,H1
SRR7130982,RNA-Seq,290,7985068937,PRJNA464429,SAMN09090114,3520611171,CD31+CD34+CD43-,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051979,GSM3136664,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P72,ILLUMINA,2018-12-17T00:00:00Z,GSM3136664,H1_CD43-,SRP144905,,H1
SRR7130983,RNA-Seq,291,3495099245,PRJNA464429,SAMN09090113,1552504558,CD31+CD34+CD43+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051980,GSM3136665,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P16,ILLUMINA,2018-12-17T00:00:00Z,GSM3136665,iPSC-_CD43+,SRP144905,,
SRR7130984,RNA-Seq,291,4230153099,PRJNA464429,SAMN09090112,1919710003,CD31+CD34+CD43+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051981,GSM3136666,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P16,ILLUMINA,2018-12-17T00:00:00Z,GSM3136666,iPSC-_CD43+,SRP144905,,
SRR7130985,RNA-Seq,290,665162411,PRJNA464429,SAMN09090111,297987756,CD31+CD34+CD43-,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051982,GSM3136667,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P16,ILLUMINA,2018-12-17T00:00:00Z,GSM3136667,iPSC-_CD43-,SRP144905,,
SRR7130986,RNA-Seq,291,6699270831,PRJNA464429,SAMN09090110,2929969202,CD31+CD34+CD43-,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051983,GSM3136668,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P16,ILLUMINA,2018-12-17T00:00:00Z,GSM3136668,iPSC-_CD43-,SRP144905,,
SRR7130987,RNA-Seq,300,3957975000,PRJNA464429,SAMN09090117,1758044456,day 5 CD31+CD34+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051984,GSM3136669,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P75,ILLUMINA,2018-12-17T00:00:00Z,GSM3136669,d5H1-ins_CD31+,SRP144905,no,H1
SRR7130988,RNA-Seq,300,5901437100,PRJNA464429,SAMN09090109,2565189057,day 5 CD31+CD34+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051985,GSM3136670,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P75,ILLUMINA,2018-12-17T00:00:00Z,GSM3136670,d5H1-ins_CD31+,SRP144905,no,H1
SRR7130989,RNA-Seq,300,6460147800,PRJNA464429,SAMN09090108,2793662777,day 5 CD31+CD34+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051986,GSM3136671,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P75,ILLUMINA,2018-12-17T00:00:00Z,GSM3136671,d5H1+ins_CD31+,SRP144905,yes,H1
SRR7130990,RNA-Seq,300,6500607600,PRJNA464429,SAMN09090107,2751224388,day 5 CD31+CD34+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051987,GSM3136672,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P75,ILLUMINA,2018-12-17T00:00:00Z,GSM3136672,d5H1+ins_CD31+,SRP144905,yes,H1
SRR7130991,RNA-Seq,300,7059039000,PRJNA464429,SAMN09090106,2951474348,day 5 CD31+CD34+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051988,GSM3136673,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P18,ILLUMINA,2018-12-17T00:00:00Z,GSM3136673,d5iPS-ins_CD31+,SRP144905,no,
SRR7130992,RNA-Seq,300,5111527500,PRJNA464429,SAMN09090105,2146045647,day 5 CD31+CD34+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051989,GSM3136674,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P18,ILLUMINA,2018-12-17T00:00:00Z,GSM3136674,d5iPS-ins_CD31+,SRP144905,no,
SRR7130993,RNA-Seq,300,7613177100,PRJNA464429,SAMN09090104,3325579070,day 5 CD31+CD34+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051990,GSM3136675,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P18,ILLUMINA,2018-12-17T00:00:00Z,GSM3136675,d5iPS+ins_CD31+,SRP144905,yes,
SRR7130994,RNA-Seq,300,5276162700,PRJNA464429,SAMN09090103,2277235288,day 5 CD31+CD34+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051991,GSM3136676,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P18,ILLUMINA,2018-12-17T00:00:00Z,GSM3136676,d5iPS+ins_CD31+,SRP144905,yes,
SRR7130995,RNA-Seq,300,5136300600,PRJNA464429,SAMN09090102,2198254417,day 8 CD31+CD34+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051992,GSM3136677,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P75,ILLUMINA,2018-12-17T00:00:00Z,GSM3136677,d8H1-ins_CD31+,SRP144905,no,H1
SRR7130996,RNA-Seq,300,5982332100,PRJNA464429,SAMN09090101,2493781412,day 8 CD31+CD34+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051993,GSM3136678,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P75,ILLUMINA,2018-12-17T00:00:00Z,GSM3136678,d8H1-ins_CD31+,SRP144905,no,H1
SRR7130997,RNA-Seq,300,5385120600,PRJNA464429,SAMN09090100,2285635146,day 8 CD31+CD34+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051994,GSM3136679,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P75,ILLUMINA,2018-12-17T00:00:00Z,GSM3136679,d8H1+ins_CD31+,SRP144905,yes,H1
SRR7130998,RNA-Seq,300,7911466800,PRJNA464429,SAMN09090099,3365543919,day 8 CD31+CD34+,human embryonic stem cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051995,GSM3136680,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P75,ILLUMINA,2018-12-17T00:00:00Z,GSM3136680,d8H1+ins_CD31+,SRP144905,yes,H1
SRR7130999,RNA-Seq,300,4589926500,PRJNA464429,SAMN09090098,2059694577,day 8 CD31+CD34+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051996,GSM3136681,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P18,ILLUMINA,2018-12-17T00:00:00Z,GSM3136681,d8iPS-ins_CD31+,SRP144905,no,
SRR7131000,RNA-Seq,300,5034238200,PRJNA464429,SAMN09090070,2193037078,day 8 CD31+CD34+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051997,GSM3136682,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P18,ILLUMINA,2018-12-17T00:00:00Z,GSM3136682,d8iPS-ins_CD31+,SRP144905,no,
SRR7131001,RNA-Seq,300,6573989100,PRJNA464429,SAMN09090069,2827527780,day 8 CD31+CD34+,human induced pluripotent stem cells (iPSCs) from CD34+ cord blood,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4051998,GSM3136683,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,P18,ILLUMINA,2018-12-17T00:00:00Z,GSM3136683,d8iPS+ins_CD31+,SRP144905,yes,
