Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Replicate,Sample Name,source_name,SRA Study
SRR7643156,RNA-Seq,200,6999647000,PRJNA484413,SAMN09764713,4539393644,human embryonic stem cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506590,GSM3318642,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 3,GSM3318642,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643157,RNA-Seq,200,11398102000,PRJNA484413,SAMN09764712,7370257584,human embryonic stem cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506591,GSM3318643,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 4,GSM3318643,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643158,RNA-Seq,200,9055527800,PRJNA484413,SAMN09764711,5874297154,day 3 mesoderm population (CD326lowCD56+ purified from embryoid bodies),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506592,GSM3318644,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 1,GSM3318644,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643159,RNA-Seq,200,8729483200,PRJNA484413,SAMN09764710,5693671466,day 3 mesoderm population (CD326lowCD56+ purified from embryoid bodies),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506593,GSM3318645,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 2,GSM3318645,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643161,RNA-Seq,200,10108717600,PRJNA484413,SAMN09764708,6584846744,day 3 mesoderm population (CD326lowCD56+ purified from embryoid bodies),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506595,GSM3318647,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 4,GSM3318647,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643163,RNA-Seq,200,9743916600,PRJNA484413,SAMN09764706,6313185355,day 3 remaining cell population,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506597,GSM3318649,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 2,GSM3318649,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643165,RNA-Seq,200,9535252800,PRJNA484413,SAMN09764704,6161165921,day 3 remaining cell population,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506599,GSM3318651,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 4,GSM3318651,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643166,RNA-Seq,200,8744664000,PRJNA484413,SAMN09764703,5647747111,day 7 selected endothelial cells (CD144+CD31+),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506600,GSM3318652,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 1,GSM3318652,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643168,RNA-Seq,200,11423751200,PRJNA484413,SAMN09764701,7430176875,the day 7 remaining population,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506602,GSM3318654,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 1,GSM3318654,Endothelial cell (EC) differentiation from human embryonic stem cells (hESC),SRP156320
SRR7643170,RNA-Seq,200,6956170600,PRJNA484413,SAMN09764699,4543718665,Human saphenous vein endothelial cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506604,GSM3318656,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 1,GSM3318656,Human saphenous vein endothelial cells,SRP156320
SRR7643171,RNA-Seq,200,8927309800,PRJNA484413,SAMN09764698,5810581489,Human saphenous vein endothelial cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506605,GSM3318657,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 2,GSM3318657,Human saphenous vein endothelial cells,SRP156320
SRR7643173,RNA-Seq,200,7724085400,PRJNA484413,SAMN09764696,5018803057,Human saphenous vein endothelial cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4506607,GSM3318659,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,replicate 4,GSM3318659,Human saphenous vein endothelial cells,SRP156320
