Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR7774108,RNA-Seq,200,4347017800,PRJNA488795,SAMN09941276,2146895330,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629439,GSM3370007,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370007,HES9 total population,SRP159258
SRR7774109,RNA-Seq,200,4419863400,PRJNA488795,SAMN09941276,2220295010,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629439,GSM3370007,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370007,HES9 total population,SRP159258
SRR7774110,RNA-Seq,200,4325748800,PRJNA488795,SAMN09941276,2142673727,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629439,GSM3370007,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370007,HES9 total population,SRP159258
SRR7774111,RNA-Seq,200,4390620200,PRJNA488795,SAMN09941276,2192968473,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629439,GSM3370007,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370007,HES9 total population,SRP159258
SRR7774112,RNA-Seq,200,3665845600,PRJNA488795,SAMN09941275,1836782942,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629440,GSM3370008,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370008,HES9 total population,SRP159258
SRR7774113,RNA-Seq,200,3757134800,PRJNA488795,SAMN09941275,1913443153,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629440,GSM3370008,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370008,HES9 total population,SRP159258
SRR7774115,RNA-Seq,200,3773753400,PRJNA488795,SAMN09941275,1911134554,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629440,GSM3370008,nonsorted population,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370008,HES9 total population,SRP159258
SRR7774116,RNA-Seq,200,3218830600,PRJNA488795,SAMN09941274,1618811530,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629441,GSM3370009,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370009,HES9 HHH fraction,SRP159258
SRR7774117,RNA-Seq,200,3280238400,PRJNA488795,SAMN09941274,1676798674,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629441,GSM3370009,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370009,HES9 HHH fraction,SRP159258
SRR7774118,RNA-Seq,200,3180857200,PRJNA488795,SAMN09941274,1604761092,HES9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4629441,GSM3370009,sorted for high expression of EPCAM-GCTM2-CD9,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-04-01T00:00:00Z,GSM3370009,HES9 HHH fraction,SRP159258
