Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Passages,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR8181096,RNA-Seq,202,11604661034,PRJNA505178,SAMN10411741,3973146067,hESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001098,GSM3466443,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,15-20,ILLUMINA,2020-01-01T00:00:00Z,GSM3466443,ESC cell-line,SRP168406
SRR8181097,RNA-Seq,202,10615815888,PRJNA505178,SAMN10411740,3833037799,hESC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001099,GSM3466444,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,15-20,ILLUMINA,2020-01-01T00:00:00Z,GSM3466444,ESC cell-line,SRP168406
SRR8181098,RNA-Seq,202,10829247472,PRJNA505178,SAMN10411739,3953340358,iPSC,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001100,GSM3466445,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,15-20,ILLUMINA,2020-01-01T00:00:00Z,GSM3466445,iPSC cell-line,SRP168406
SRR8181099,RNA-Seq,202,9495420060,PRJNA505178,SAMN10411738,3275376569,ESC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001101,GSM3466446,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466446,differentiations from ESC cell-line (ESC3),SRP168406
SRR8181100,RNA-Seq,202,9045245890,PRJNA505178,SAMN10411737,3124988520,ESC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001102,GSM3466447,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466447,differentiations from ESC cell-line (ESC3),SRP168406
SRR8181101,RNA-Seq,202,9140383648,PRJNA505178,SAMN10411736,3131280614,ESC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001103,GSM3466448,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466448,differentiations from ESC cell-line (ESC3),SRP168406
SRR8181102,RNA-Seq,202,9689798802,PRJNA505178,SAMN10411735,3363153389,ESC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001104,GSM3466449,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466449,differentiations from ESC cell-line (ESC3),SRP168406
SRR8181103,RNA-Seq,202,10299280272,PRJNA505178,SAMN10411734,3789470053,ESC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001105,GSM3466450,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466450,differentiations from ESC cell-line (ESC9),SRP168406
SRR8181104,RNA-Seq,202,9878650016,PRJNA505178,SAMN10411733,3594977763,ESC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001106,GSM3466451,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466451,differentiations from ESC cell-line (ESC9),SRP168406
SRR8181105,RNA-Seq,202,10562073990,PRJNA505178,SAMN10411732,3814368919,ESC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001107,GSM3466452,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466452,differentiations from ESC cell-line (ESC9),SRP168406
SRR8181106,RNA-Seq,202,10142248502,PRJNA505178,SAMN10411731,3677242247,ESC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001108,GSM3466453,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466453,differentiations from ESC cell-line (ESC9),SRP168406
SRR8181107,RNA-Seq,202,9660702722,PRJNA505178,SAMN10411730,3560475615,iPSC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001109,GSM3466454,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466454,differentiations from iPSC cell-line (ImR90),SRP168406
SRR8181108,RNA-Seq,202,10450655638,PRJNA505178,SAMN10411729,3812536864,iPSC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001110,GSM3466455,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466455,differentiations from iPSC cell-line (ImR90),SRP168406
SRR8181109,RNA-Seq,202,10710945970,PRJNA505178,SAMN10411728,3869159739,iPSC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001111,GSM3466456,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466456,differentiations from iPSC cell-line (ImR90),SRP168406
SRR8181110,RNA-Seq,202,9686411666,PRJNA505178,SAMN10411727,3520403128,iPSC-derived NPCs,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5001112,GSM3466457,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-01-01T00:00:00Z,GSM3466457,differentiations from iPSC cell-line (ImR90),SRP168406
