Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,development_day,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Stage
SRR8483417,RNA-Seq,300,953760000,PRJNA516921,SAMN10815326,398937533,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day6,SRX5288186,GSM3578298,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578298,trophoblasts,SRP181926,blastocyst
SRR8483418,RNA-Seq,300,1193149500,PRJNA516921,SAMN10815325,499314110,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day6,SRX5288187,GSM3578299,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578299,trophoblasts,SRP181926,blastocyst
SRR8483419,RNA-Seq,300,849467400,PRJNA516921,SAMN10815324,365228781,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day6,SRX5288188,GSM3578300,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578300,trophoblasts,SRP181926,blastocyst
SRR8483420,RNA-Seq,300,594241200,PRJNA516921,SAMN10815323,270140840,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day6,SRX5288285,GSM3578301,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578301,trophoblasts,SRP181926,blastocyst
SRR8483421,RNA-Seq,300,1135002900,PRJNA516921,SAMN10815322,462414864,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day6,SRX5288286,GSM3578302,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578302,trophoblasts,SRP181926,blastocyst
SRR8483422,RNA-Seq,300,1950777600,PRJNA516921,SAMN10815400,770844200,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day6,SRX5288287,GSM3578303,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578303,trophoblasts,SRP181926,blastocyst
SRR8483423,RNA-Seq,300,1417324800,PRJNA516921,SAMN10815399,579306456,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day6,SRX5288288,GSM3578304,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578304,trophoblasts,SRP181926,blastocyst
SRR8483424,RNA-Seq,300,1245822000,PRJNA516921,SAMN10815398,530467334,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day6,SRX5288289,GSM3578305,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578305,trophoblasts,SRP181926,blastocyst
SRR8483425,RNA-Seq,300,864108600,PRJNA516921,SAMN10815422,381233926,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288695,GSM3578650,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578650,trophoblasts,SRP181926,implantation
SRR8483426,RNA-Seq,300,1043861700,PRJNA516921,SAMN10815421,452567330,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288696,GSM3578651,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578651,trophoblasts,SRP181926,implantation
SRR8483427,RNA-Seq,300,1359875400,PRJNA516921,SAMN10815420,592938721,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288697,GSM3578652,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578652,trophoblasts,SRP181926,implantation
SRR8483428,RNA-Seq,300,1236638100,PRJNA516921,SAMN10815419,538175635,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288698,GSM3578653,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578653,trophoblasts,SRP181926,implantation
SRR8483429,RNA-Seq,300,540481500,PRJNA516921,SAMN10815418,243130417,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288699,GSM3578654,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578654,trophoblasts,SRP181926,implantation
SRR8483430,RNA-Seq,300,555952800,PRJNA516921,SAMN10815417,245835758,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288700,GSM3578655,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578655,trophoblasts,SRP181926,implantation
SRR8483431,RNA-Seq,300,777769800,PRJNA516921,SAMN10815416,340878789,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288701,GSM3578656,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578656,trophoblasts,SRP181926,implantation
SRR8483432,RNA-Seq,300,771381900,PRJNA516921,SAMN10815415,339542612,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",day8,SRX5288702,GSM3578657,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-29T00:00:00Z,GSM3578657,trophoblasts,SRP181926,implantation
