Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),growth_condition,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR8570175,RNA-Seq,202,2451930944,PRJNA522065,SAMN10924224,968329077,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371479,GSM3602450,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602450,Human embryonic stem cell,SRP185781
SRR8570176,RNA-Seq,202,1825814168,PRJNA522065,SAMN10924223,723214817,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371480,GSM3602451,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602451,Human embryonic stem cell,SRP185781
SRR8570177,RNA-Seq,202,2219037468,PRJNA522065,SAMN10924222,874448830,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371481,GSM3602452,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602452,Human embryonic stem cell,SRP185781
SRR8570178,RNA-Seq,202,2418675482,PRJNA522065,SAMN10924241,959611314,H1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371482,GSM3602453,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602453,Human embryonic stem cell,SRP185781
SRR8570179,RNA-Seq,202,2245079308,PRJNA522065,SAMN10924240,891786930,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371483,GSM3602454,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602454,Human embryonic stem cell,SRP185781
SRR8570180,RNA-Seq,202,2692913914,PRJNA522065,SAMN10924239,1077359861,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371484,GSM3602455,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602455,Human embryonic stem cell,SRP185781
SRR8570181,RNA-Seq,202,2825966668,PRJNA522065,SAMN10924238,1122506807,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371485,GSM3602456,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602456,Human embryonic stem cell,SRP185781
SRR8570182,RNA-Seq,202,2355800760,PRJNA522065,SAMN10924232,940144024,H9,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371486,GSM3602457,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602457,Human embryonic stem cell,SRP185781
SRR8570183,RNA-Seq,202,2639716002,PRJNA522065,SAMN10924237,1044323403,CH1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371487,GSM3602458,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602458,Human embryonic stem cell,SRP185781
SRR8570184,RNA-Seq,202,2505234906,PRJNA522065,SAMN10924236,993594708,CH1,pluripotent stem cell,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5371488,GSM3602459,AI,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-03T00:00:00Z,GSM3602459,Human embryonic stem cell,SRP185781
