Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TISSUE,treatment_duration_mins,TREATMENT
SRR8689922,RNA-Seq,200,4385038800,PRJNA525835,SAMN11077934,1530151572,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485811,GSM3656828,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656828,embryonic stem cells,SRP187735,embryonic stem cells,0,untreated
SRR8689923,RNA-Seq,200,4924277400,PRJNA525835,SAMN11077934,1803531556,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485811,GSM3656828,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656828,embryonic stem cells,SRP187735,embryonic stem cells,0,untreated
SRR8689924,RNA-Seq,200,4419207800,PRJNA525835,SAMN11077933,1535131419,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485812,GSM3656829,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656829,embryonic stem cells,SRP187735,embryonic stem cells,0,untreated
SRR8689925,RNA-Seq,200,4927412600,PRJNA525835,SAMN11077933,1796202999,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485812,GSM3656829,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656829,embryonic stem cells,SRP187735,embryonic stem cells,0,untreated
SRR8689926,RNA-Seq,200,3864355600,PRJNA525835,SAMN11077932,1344675549,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485813,GSM3656830,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656830,embryonic stem cells,SRP187735,embryonic stem cells,0,untreated
SRR8689927,RNA-Seq,200,4336144200,PRJNA525835,SAMN11077932,1583881533,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485813,GSM3656830,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656830,embryonic stem cells,SRP187735,embryonic stem cells,0,untreated
SRR8689928,RNA-Seq,200,4712723400,PRJNA525835,SAMN11077931,1646664120,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485814,GSM3656831,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656831,embryonic stem cells,SRP187735,embryonic stem cells,20,BMP4
SRR8689929,RNA-Seq,200,5247670600,PRJNA525835,SAMN11077931,1924582499,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485814,GSM3656831,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656831,embryonic stem cells,SRP187735,embryonic stem cells,20,BMP4
SRR8689930,RNA-Seq,200,3786910000,PRJNA525835,SAMN11077901,1324904712,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485815,GSM3656832,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656832,embryonic stem cells,SRP187735,embryonic stem cells,20,BMP4
SRR8689931,RNA-Seq,200,4215910400,PRJNA525835,SAMN11077901,1547311829,H1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5485815,GSM3656832,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-07-31T00:00:00Z,GSM3656832,embryonic stem cells,SRP187735,embryonic stem cells,20,BMP4
