Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Day,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR8723489,miRNA-Seq,51,685053675,PRJNA526900,SAMN11119505,324865171,HNES1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,embryo,SRX5516717,GSM3669491,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669491,HNES1_naive,SRP188358
SRR8723490,miRNA-Seq,51,842289633,PRJNA526900,SAMN11119504,341947447,HNES1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,embryo,SRX5516718,GSM3669492,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669492,HNES1_naive,SRP188358
SRR8723491,miRNA-Seq,51,501256764,PRJNA526900,SAMN11119503,204879426,HNES1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,embryo,SRX5516719,GSM3669493,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669493,HNES1_naive,SRP188358
SRR8723492,miRNA-Seq,51,639300147,PRJNA526900,SAMN11119502,261879993,HNES2,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,embryo,SRX5516720,GSM3669494,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669494,HNES2_naive,SRP188358
SRR8723493,miRNA-Seq,51,474319737,PRJNA526900,SAMN11119501,194809332,HNES2,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,embryo,SRX5516721,GSM3669495,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669495,HNES2_naive,SRP188358
SRR8723494,miRNA-Seq,51,416679741,PRJNA526900,SAMN11119500,175001041,HNES2,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",0,embryo,SRX5516722,GSM3669496,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669496,HNES2_naive,SRP188358
SRR8723495,miRNA-Seq,51,644656677,PRJNA526900,SAMN11119499,263961783,HNES1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2,embryo,SRX5516723,GSM3669497,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669497,HNES1_transitioning,SRP188358
SRR8723496,miRNA-Seq,51,516680898,PRJNA526900,SAMN11119498,211050066,HNES1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2,embryo,SRX5516724,GSM3669498,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669498,HNES1_transitioning,SRP188358
SRR8723497,miRNA-Seq,51,527897787,PRJNA526900,SAMN11119497,218908627,HNES1,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2,embryo,SRX5516725,GSM3669499,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669499,HNES1_transitioning,SRP188358
SRR8723498,miRNA-Seq,51,408967266,PRJNA526900,SAMN11119496,169866725,HNES2,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2,embryo,SRX5516726,GSM3669500,Illumina MiSeq,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-06-29T00:00:00Z,GSM3669500,HNES2_transitioning,SRP188358
