Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PASSAGE,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TISSUE
SRR8769770,RNA-Seq,300,7168669200,PRJNA528629,SAMN11233438,2205645454,foregut stem cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559873,GSM3683640,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,1,ILLUMINA,2020-03-02T00:00:00Z,GSM3683640,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769771,RNA-Seq,300,6955271100,PRJNA528629,SAMN11233437,2141167137,hepatic specification,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559874,GSM3683641,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-03-02T00:00:00Z,GSM3683641,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769772,RNA-Seq,300,6948067500,PRJNA528629,SAMN11233436,2131923151,hepatic specification,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559875,GSM3683642,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-03-02T00:00:00Z,GSM3683642,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769775,RNA-Seq,300,6779444100,PRJNA528629,SAMN11233433,2109744498,human stem/progenitor cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559878,GSM3683645,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,1,ILLUMINA,2020-03-02T00:00:00Z,GSM3683645,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769776,RNA-Seq,300,6892340400,PRJNA528629,SAMN11233432,2137323339,human stem/progenitor cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559879,GSM3683646,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,1,ILLUMINA,2020-03-02T00:00:00Z,GSM3683646,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769777,RNA-Seq,300,6943825800,PRJNA528629,SAMN11233431,2143871248,human stem/progenitor cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559880,GSM3683647,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,3,ILLUMINA,2020-03-02T00:00:00Z,GSM3683647,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769779,RNA-Seq,300,6809713500,PRJNA528629,SAMN11233429,2091469130,human adult hepatic organoids,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559882,GSM3683649,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,1,ILLUMINA,2020-03-02T00:00:00Z,GSM3683649,human adult liver tissue,SRP189161,human adult liver tissue
SRR8769781,RNA-Seq,300,7141711200,PRJNA528629,SAMN11233427,2204140518,primary human hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559884,GSM3683651,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-03-02T00:00:00Z,GSM3683651,human adult liver tissue,SRP189161,human adult liver tissue
SRR8769782,RNA-Seq,300,7105508700,PRJNA528629,SAMN11233426,2192461021,primary human hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559885,GSM3683652,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-03-02T00:00:00Z,GSM3683652,human adult liver tissue,SRP189161,human adult liver tissue
SRR8769774,RNA-Seq,300,7071222000,PRJNA528629,SAMN11233434,2183624772,hepatoblasts,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559877,GSM3683644,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-03-02T00:00:00Z,GSM3683644,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769769,RNA-Seq,300,6870642900,PRJNA528629,SAMN11233439,2120810885,foregut stem cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559872,GSM3683639,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,1,ILLUMINA,2020-03-02T00:00:00Z,GSM3683639,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769780,RNA-Seq,300,7131666600,PRJNA528629,SAMN11233428,2207287863,human adult hepatic organoids,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559883,GSM3683650,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,1,ILLUMINA,2020-03-02T00:00:00Z,GSM3683650,human adult liver tissue,SRP189161,human adult liver tissue
SRR8769773,RNA-Seq,300,6943100100,PRJNA528629,SAMN11233435,2146692357,hepatoblasts,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559876,GSM3683643,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,0,ILLUMINA,2020-03-02T00:00:00Z,GSM3683643,human embryonic stem cells,SRP189161,human embryonic stem cells
SRR8769778,RNA-Seq,300,7124351400,PRJNA528629,SAMN11233430,2196546732,human stem/progenitor cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5559881,GSM3683648,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,3,ILLUMINA,2020-03-02T00:00:00Z,GSM3683648,human embryonic stem cells,SRP189161,human embryonic stem cells
