Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_day,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,retinoic_acid,Sample Name,source_name,SRA Study,stem_cells_type
SRR8822666,RNA-Seq,252,5509147140,PRJNA530144,SAMN11298833,2091068162,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D37,SRX5611106,GSM3693288,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693288,retinal organoid,SRP189988,ESC
SRR8822667,RNA-Seq,252,6381541152,PRJNA530144,SAMN11298832,2505616437,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D37,SRX5611107,GSM3693289,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693289,retinal organoid,SRP189988,ESC
SRR8822668,RNA-Seq,252,6808580100,PRJNA530144,SAMN11298831,2593220784,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D67,SRX5611108,GSM3693290,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693290,retinal organoid,SRP189988,ESC
SRR8822669,RNA-Seq,252,5118593256,PRJNA530144,SAMN11298830,1989808933,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D67,SRX5611109,GSM3693291,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693291,retinal organoid,SRP189988,ESC
SRR8822670,RNA-Seq,252,5566083768,PRJNA530144,SAMN11298829,2117351841,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D67,SRX5611110,GSM3693292,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693292,retinal organoid,SRP189988,ESC
SRR8822671,RNA-Seq,252,4543181244,PRJNA530144,SAMN11298828,1715499941,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611111,GSM3693293,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693293,retinal organoid,SRP189988,ESC
SRR8822672,RNA-Seq,252,3753594684,PRJNA530144,SAMN11298886,1461991418,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D90,SRX5611112,GSM3693294,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693294,retinal organoid,SRP189988,ESC
SRR8822673,RNA-Seq,252,5682274920,PRJNA530144,SAMN11298885,2162584456,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611113,GSM3693295,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693295,retinal organoid,SRP189988,ESC
SRR8822674,RNA-Seq,252,6058030356,PRJNA530144,SAMN11298854,2359682045,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D120,SRX5611114,GSM3693296,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693296,retinal organoid,SRP189988,ESC
SRR8822675,RNA-Seq,252,6001488360,PRJNA530144,SAMN11298853,2285237988,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D150,SRX5611115,GSM3693297,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693297,retinal organoid,SRP189988,ESC
SRR8822677,RNA-Seq,252,5848598196,PRJNA530144,SAMN11298851,2217294216,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D200,SRX5611117,GSM3693299,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693299,retinal organoid,SRP189988,ESC
SRR8822678,RNA-Seq,252,3662680392,PRJNA530144,SAMN11298850,1448990246,H9,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D200,SRX5611118,GSM3693300,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693300,retinal organoid,SRP189988,ESC
SRR8822679,RNA-Seq,252,5375044080,PRJNA530144,SAMN11298849,1908597139,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D37,SRX5611119,GSM3693301,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693301,retinal organoid,SRP189988,iPSC
SRR8822680,RNA-Seq,252,6375446784,PRJNA530144,SAMN11298848,2510521560,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D37,SRX5611120,GSM3693302,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693302,retinal organoid,SRP189988,iPSC
SRR8822682,RNA-Seq,252,4806947880,PRJNA530144,SAMN11298846,1897228493,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D60,SRX5611122,GSM3693304,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693304,retinal organoid,SRP189988,iPSC
SRR8822683,RNA-Seq,252,5017570488,PRJNA530144,SAMN11298845,2009106635,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D60,SRX5611123,GSM3693305,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693305,retinal organoid,SRP189988,iPSC
SRR8822684,RNA-Seq,252,6977602548,PRJNA530144,SAMN11298844,2456870695,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D67,SRX5611124,GSM3693306,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693306,retinal organoid,SRP189988,iPSC
SRR8822685,RNA-Seq,252,4885647228,PRJNA530144,SAMN11298843,1961313773,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D75,SRX5611125,GSM3693307,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693307,retinal organoid,SRP189988,iPSC
SRR8822686,RNA-Seq,252,5000268924,PRJNA530144,SAMN11298842,1971182644,PEN8E,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",D75,SRX5611126,GSM3693308,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-18T00:00:00Z,9CRAL,GSM3693308,retinal organoid,SRP189988,iPSC
