Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time
SRR8952763,RNA-Seq,202,2891035918,PRJNA534673,SAMN11492798,1141913706,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5732596,GSM3735366,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735366,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952758,RNA-Seq,202,1450231124,PRJNA534673,SAMN11492797,577353559,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5732591,GSM3735361,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735361,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952820,RNA-Seq,202,1411179878,PRJNA534673,SAMN11492915,549109413,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5732653,GSM3735423,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735423,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952721,RNA-Seq,202,1419963242,PRJNA534673,SAMN11492847,564612724,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5732554,GSM3735324,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735324,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952799,RNA-Seq,300,1613095500,PRJNA534673,SAMN11492835,678824824,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5732632,GSM3735402,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735402,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952837,RNA-Seq,202,1409664878,PRJNA534673,SAMN11492901,547738017,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5732670,GSM3735440,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735440,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952768,RNA-Seq,202,1708321676,PRJNA534673,SAMN11492878,674672046,trophoblast cells,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5732601,GSM3735371,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735371,trophoblast cells,SRP193790,Day 12 (Extended culture)
SRR8952713,RNA-Seq,202,4650917488,PRJNA534673,SAMN11492855,1755142435,trophoblast cells,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732546,GSM3735316,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735316,trophoblast cells,SRP193790,Day 10 (Extended culture)
SRR8952814,RNA-Seq,202,1256859958,PRJNA534673,SAMN11492820,493471042,trophoblast cells,GEO,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX5732647,GSM3735417,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735417,trophoblast cells,SRP193790,Day 8 (Extended culture)
SRR8952756,RNA-Seq,202,1567729878,PRJNA534673,SAMN11492800,616570624,trophoblast cells,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5732589,GSM3735359,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-22T00:00:00Z,GSM3735359,trophoblast cells,SRP193790,Day 12 (Extended culture)
