Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,DIFFERENTIATION_METHOD,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_type,forskolin_treatment,Time,cell_identity,differentiation_stage,GEO_Accession (exp),molecule_subtype
SRR11652656,ATAC-seq,76,5506525964,PRJNA542809,SAMN14777642,2089639217,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PM differentiation using a 3-step method described in the protocol section.,SRX8213695,NextSeq 500,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-03T00:00:00Z,GSM4506443,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,,,,Paraxial mesoderm derived from H9 (WA09) human embryonic stem cells,Paraxial Mesoderm,GSM4506443,Tn5-transposases-tagged genomic DNA
SRR11652657,ATAC-seq,76,6064540764,PRJNA542809,SAMN14777641,2207894214,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocol section.,SRX8213696,NextSeq 500,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-03T00:00:00Z,GSM4506444,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,,,,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm at differentiation time point day 4,BA-Day4,GSM4506444,Tn5-transposases-tagged genomic DNA
SRR11652658,ATAC-seq,76,4859441292,PRJNA542809,SAMN14777640,1772776516,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocol section.,SRX8213697,NextSeq 500,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-03T00:00:00Z,GSM4506445,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,,,,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm at differentiation time point day 8,BA-Day8,GSM4506445,Tn5-transposases-tagged genomic DNA
SRR11652659,ATAC-seq,76,3783682572,PRJNA542809,SAMN14777639,1366402067,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocol section.,SRX8213698,NextSeq 500,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-03T00:00:00Z,GSM4506446,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,,,,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm at differentiation time point day 15,BA-Day15,GSM4506446,Tn5-transposases-tagged genomic DNA
SRR11652660,ATAC-seq,76,3249876052,PRJNA542809,SAMN14777638,1190642953,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocol section.,SRX8213699,NextSeq 500,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-03T00:00:00Z,GSM4506447,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,,,,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm at differentiation time point day 20,BA-Day20,GSM4506447,Tn5-transposases-tagged genomic DNA
SRR11652661,ATAC-seq,76,3481323184,PRJNA542809,SAMN14777637,1278190401,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocol section.,SRX8213700,NextSeq 500,SINGLE,other,GENOMIC,Homo sapiens,ILLUMINA,2020-08-03T00:00:00Z,GSM4506448,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,,,,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm at differentiation time point day 24,BA-Day24,GSM4506448,Tn5-transposases-tagged genomic DNA
SRR9051798,RNA-Seq,150,5099366844,PRJNA542809,SAMN11639769,2326874368,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PM differentiation using a 3-step method described in the protocols section.,SRX5828047,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3764992,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,Paraxial mesoderm derived from H9 (WA09) human embryonic stem cells,NO,,,,,
SRR9051799,RNA-Seq,245,22114785073,PRJNA542809,SAMN11639768,7725986462,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PM differentiation using a 3-step method described in the protocols section.,SRX5828048,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3764993,"Derived from human induced pluripotent stem cells (K3\, Si-Yayeb et al.\, 2010)",SRP198353,Paraxial mesoderm derived from K3 induced human pluripotent stem cells,NO,,,,,
SRR9051800,RNA-Seq,245,22177413486,PRJNA542809,SAMN11639767,7893096577,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PM differentiation using a 3-step method described in the protocols section.,SRX5828049,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3764994,"Derived from human induced pluripotent stem cells (K3\, Si-Yayeb et al.\, 2010)",SRP198353,Paraxial mesoderm derived from K3 induced human pluripotent stem cells,NO,,,,,
SRR9051801,RNA-Seq,150,5680854613,PRJNA542809,SAMN11639762,2259995389,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocols section.,SRX5828050,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3764995,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm,NO,differentiation time point day 4,,,,
SRR9051802,RNA-Seq,150,5888124019,PRJNA542809,SAMN11639761,2358169540,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocols section.,SRX5828051,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3764996,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm,NO,differentiation time point day 8,,,,
SRR9051803,RNA-Seq,149,5374541123,PRJNA542809,SAMN11639760,2134620283,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocols section.,SRX5828052,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3764997,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm,NO,differentiation time point day 15,,,,
SRR9051804,RNA-Seq,149,5439968366,PRJNA542809,SAMN11639766,2164719007,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocols section.,SRX5828053,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3764998,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm,NO,differentiation time point day 20,,,,
SRR9051805,RNA-Seq,150,4631864558,PRJNA542809,SAMN11639765,1871172093,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocols section.,SRX5828054,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3764999,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm,NO,differentiation time point day 24,,,,
SRR9051806,RNA-Seq,150,6369090659,PRJNA542809,SAMN11639764,2535426968,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Brown adipocytes differentition using defined differentiation medium as described in the protocols section.,SRX5828055,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-05-16T00:00:00Z,GSM3765000,"Derived from human embryonic stem cells (WA09 WiCell\, WAe009-A)",SRP198353,Brown adipocytes differentiated from H9ESC derived paraxial mesoderm,NO,differentiation time point day 32,,,,
