Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,GEO_Accession (exp)
SRR10509714,RNA-Seq,292,8575158217,PRJNA544466,SAMN13344023,3679772703,RBRC-HPS0331 610B1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198391,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185174,forebrain neural progenitors,SRP199323,GSM4185174
SRR10509715,RNA-Seq,291,9274594692,PRJNA544466,SAMN13344022,3973880970,RBRC-HPS0331 610B1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198392,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185175,forebrain neural progenitors,SRP199323,GSM4185175
SRR10509716,RNA-Seq,290,10322598750,PRJNA544466,SAMN13344021,4437172087,RBRC-HPS0331 610B1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198393,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185176,forebrain neural progenitors,SRP199323,GSM4185176
SRR10509719,RNA-Seq,290,10802076986,PRJNA544466,SAMN13344015,4632642014,RBRC-HPS0331 610B1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198396,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185179,forebrain neural progenitors,SRP199323,GSM4185179
SRR10509720,RNA-Seq,290,8222972417,PRJNA544466,SAMN13344014,3533472578,RBRC-HPS0331 610B1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198397,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185180,forebrain neural progenitors,SRP199323,GSM4185180
SRR10509721,RNA-Seq,292,13027118993,PRJNA544466,SAMN13344013,5588805119,RBRC-HPS0331 610B1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185181,forebrain neural progenitors,SRP199323,GSM4185181
SRR10509722,RNA-Seq,285,7365962462,PRJNA544466,SAMN13344012,3297849720,RBRC-HPS0328 606A1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198399,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185182,forebrain neural progenitors,SRP199323,GSM4185182
SRR10509723,RNA-Seq,291,8170418285,PRJNA544466,SAMN13344011,3442539675,RBRC-HPS0328 606A1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198400,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185183,forebrain neural progenitors,SRP199323,GSM4185183
SRR10509724,RNA-Seq,280,9336570815,PRJNA544466,SAMN13344029,4183001665,RBRC-HPS0328 606A1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198401,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185184,forebrain neural progenitors,SRP199323,GSM4185184
SRR10509725,RNA-Seq,289,10109703339,PRJNA544466,SAMN13344028,4243014013,RBRC-HPS0328 606A1 from RIKEN,iPSC-derived forebrain neural progenitors,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7198402,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-15T00:00:00Z,GSM4185185,forebrain neural progenitors,SRP199323,GSM4185185
