Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,facs_type,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TISSUE
SRR9602567,RNA-Seq,300,26330678700,PRJNA551221,SAMN12142244,12864976459,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS15,SRX6367796,CD45+CD235a-,GSM3906036,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906036,human embryonic cells,SRP212115,"Head\, Liver\, Blood"
SRR9602570,RNA-Seq,300,28710813000,PRJNA551221,SAMN12142244,14071611737,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS15,SRX6367796,CD45+CD235a-,GSM3906036,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906036,human embryonic cells,SRP212115,"Head\, Liver\, Blood"
SRR9602572,RNA-Seq,300,25313017500,PRJNA551221,SAMN12142243,12337473814,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS17,SRX6367797,CD45+CD235a-,GSM3906037,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906037,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602573,RNA-Seq,300,25921659900,PRJNA551221,SAMN12142243,12693720194,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS17,SRX6367797,CD45+CD235a-,GSM3906037,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906037,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602574,RNA-Seq,300,29392736400,PRJNA551221,SAMN12142243,14375599875,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS17,SRX6367797,CD45+CD235a-,GSM3906037,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906037,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602575,RNA-Seq,300,26605183500,PRJNA551221,SAMN12142243,13022729766,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS17,SRX6367797,CD45+CD235a-,GSM3906037,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906037,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602576,RNA-Seq,300,29708345400,PRJNA551221,SAMN12142243,14402653166,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS17,SRX6367797,CD45+CD235a-,GSM3906037,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906037,human embryonic cells,SRP212115,"Yolk sac\, Head\, Liver\, Blood"
SRR9602577,RNA-Seq,300,28203531600,PRJNA551221,SAMN12142242,13950531081,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS11,SRX6367798,CD45+CD235a-,GSM3906038,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906038,human embryonic cells,SRP212115,"Yolk sac\, Head"
SRR9602578,RNA-Seq,300,23496764100,PRJNA551221,SAMN12142242,11570728164,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS11,SRX6367798,CD45+CD235a-,GSM3906038,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906038,human embryonic cells,SRP212115,"Yolk sac\, Head"
SRR9602580,RNA-Seq,300,7469969400,PRJNA551221,SAMN12142241,3757193868,embryonic cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CS23,SRX6367799,CD45+CD235a-,GSM3906039,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,GSM3906039,human embryonic cells,SRP212115,"Head\, Liver\, Skin\, Lung"
