Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,embryo_type,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR9645803,RNA-Seq,300,21960830700,PRJNA552818,SAMN12219255,8705952051,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,AG embryo,SRX6407748,GSM3928482,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928482,Embryo,SRP213116
SRR9645804,RNA-Seq,300,6168328800,PRJNA552818,SAMN12219254,2381347361,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,AG embryo,SRX6407749,GSM3928483,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928483,Embryo,SRP213116
SRR9645805,RNA-Seq,300,6188924700,PRJNA552818,SAMN12219253,2416152332,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,AG embryo,SRX6407750,GSM3928484,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928484,Embryo,SRP213116
SRR9645806,RNA-Seq,300,6085938600,PRJNA552818,SAMN12219252,2357356307,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,AG embryo,SRX6407751,GSM3928485,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928485,Embryo,SRP213116
SRR9645807,RNA-Seq,300,6160430700,PRJNA552818,SAMN12219299,2364175593,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,AG embryo,SRX6407752,GSM3928486,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928486,Embryo,SRP213116
SRR9645808,RNA-Seq,180,7496681220,PRJNA552818,SAMN12219298,5600120105,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407753,GSM3928487,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928487,Embryo,SRP213116
SRR9645809,RNA-Seq,180,4267006380,PRJNA552818,SAMN12219297,3447526968,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407754,GSM3928488,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928488,Embryo,SRP213116
SRR9645810,RNA-Seq,180,8451455760,PRJNA552818,SAMN12219296,6440409593,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407755,GSM3928489,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928489,Embryo,SRP213116
SRR9645811,RNA-Seq,180,8589132720,PRJNA552818,SAMN12219295,6635319697,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407756,GSM3928490,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928490,Embryo,SRP213116
SRR9645812,RNA-Seq,300,5593650300,PRJNA552818,SAMN12219294,2181352713,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,AG embryo,SRX6407757,GSM3928491,Illumina HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-10-09T00:00:00Z,GSM3928491,Embryo,SRP213116
