Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR10039497,embryo invitro day 6,RNA-Seq,299,4801774642,PRJNA562548,SAMN12643725,1949790299,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774439,GSM4050122,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050122,embryo,SRP219759
SRR10039498,embryo invitro day 6,RNA-Seq,299,4606437620,PRJNA562548,SAMN12643724,1879203667,EPI,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774440,GSM4050123,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050123,embryo,SRP219759
SRR10039499,embryo invitro day 6,RNA-Seq,299,5045272018,PRJNA562548,SAMN12643723,2068338404,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774441,GSM4050124,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050124,embryo,SRP219759
SRR10039500,embryo invitro day 6,RNA-Seq,299,4645142386,PRJNA562548,SAMN12643722,1775507145,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774442,GSM4050125,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050125,embryo,SRP219759
SRR10039501,embryo invitro day 6,RNA-Seq,299,4493736296,PRJNA562548,SAMN12643721,1841771798,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774443,GSM4050126,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050126,embryo,SRP219759
SRR10039502,embryo invitro day 6,RNA-Seq,299,4830634147,PRJNA562548,SAMN12643720,1967961079,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774444,GSM4050127,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050127,embryo,SRP219759
SRR10039503,embryo invitro day 6,RNA-Seq,299,4727597933,PRJNA562548,SAMN12643719,1811396300,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774445,GSM4050128,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050128,embryo,SRP219759
SRR10039504,embryo invitro day 6,RNA-Seq,299,4866494952,PRJNA562548,SAMN12643760,1870192925,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774446,GSM4050129,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050129,embryo,SRP219759
SRR10039505,embryo invitro day 6,RNA-Seq,299,4811743262,PRJNA562548,SAMN12643759,1839987165,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774895,GSM4050130,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050130,embryo,SRP219759
SRR10039506,embryo invitro day 6,RNA-Seq,299,4923205847,PRJNA562548,SAMN12643758,1992490368,ICM,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6774896,GSM4050131,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-11-28T00:00:00Z,GSM4050131,embryo,SRP219759
