Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_count,cell_ID,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Treatment
SRR12859937,OTHER,74,22460924,PRJNA603321,SAMN16504521,8806804,1,VZA01706.A08,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331263,GSM4841680,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841680,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859938,OTHER,74,17333242,PRJNA603321,SAMN16504520,6818186,1,VZA01706.A09,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331264,GSM4841681,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841681,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859939,OTHER,74,39233912,PRJNA603321,SAMN16504519,15262530,1,VZA01706.A10,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331265,GSM4841682,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841682,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859940,OTHER,74,306360,PRJNA603321,SAMN16504518,194125,1,VZA01706.A11,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331266,GSM4841683,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841683,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859941,OTHER,74,22413860,PRJNA603321,SAMN16504517,8775134,1,VZA01706.A12,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331267,GSM4841684,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841684,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859942,OTHER,74,14334022,PRJNA603321,SAMN16504516,5651435,1,VZA01706.A13,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331268,GSM4841685,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841685,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859943,OTHER,74,26520860,PRJNA603321,SAMN16504513,10345607,1,VZA01706.A14,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331269,GSM4841686,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841686,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859944,OTHER,74,21550872,PRJNA603321,SAMN16504552,8417062,1,VZA01706.A15,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331270,GSM4841687,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841687,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859945,OTHER,74,28340890,PRJNA603321,SAMN16504551,11045990,1,VZA01706.A16,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331271,GSM4841688,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841688,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859946,OTHER,74,27500250,PRJNA603321,SAMN16504515,10713141,1,VZA01706.A17,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331272,GSM4841689,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841689,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859947,OTHER,74,2047876,PRJNA603321,SAMN16504514,889064,1,VZA01706.A18,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331273,GSM4841690,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841690,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859948,OTHER,74,16475360,PRJNA603321,SAMN16504550,6748308,1,VZA01706.A19,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9331274,GSM4841691,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841691,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859949,OTHER,74,17540812,PRJNA603321,SAMN16504549,6897884,1,VZA01706.A20,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327220,GSM4841692,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841692,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859950,OTHER,74,17847764,PRJNA603321,SAMN16504548,7005067,1,VZA01706.A21,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327221,GSM4841693,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841693,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859951,OTHER,74,32073154,PRJNA603321,SAMN16504547,12536262,1,VZA01706.A22,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327222,GSM4841694,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841694,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859952,OTHER,74,34688610,PRJNA603321,SAMN16504546,13660354,1,VZA01706.A23,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327223,GSM4841695,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841695,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859953,OTHER,74,20608926,PRJNA603321,SAMN16504545,8086046,1,VZA01706.A24,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327224,GSM4841696,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841696,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859954,OTHER,74,26659462,PRJNA603321,SAMN16504544,10491726,1,VZA01706.B01,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327225,GSM4841697,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841697,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859955,OTHER,74,18953990,PRJNA603321,SAMN16504543,7471645,1,VZA01706.B02,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327226,GSM4841698,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841698,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859956,OTHER,74,11153798,PRJNA603321,SAMN16507378,4436438,1,VZA01706.B03,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327227,GSM4841699,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841699,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859957,OTHER,74,29379702,PRJNA603321,SAMN16507377,11412113,1,VZA01706.B04,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327228,GSM4841700,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841700,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859958,OTHER,74,6226508,PRJNA603321,SAMN16507376,2512354,1,VZA01706.B05,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327229,GSM4841701,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841701,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859959,OTHER,74,557294,PRJNA603321,SAMN16507411,300074,1,VZA01706.B06,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327230,GSM4841702,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841702,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859960,OTHER,74,29190558,PRJNA603321,SAMN16507410,11488478,1,VZA01706.B07,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327231,GSM4841703,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841703,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859961,OTHER,74,16655550,PRJNA603321,SAMN16507409,6594188,1,VZA01706.B08,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327232,GSM4841704,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841704,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859962,OTHER,74,20729620,PRJNA603321,SAMN16507408,8139257,1,VZA01706.B09,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327233,GSM4841705,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841705,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859963,OTHER,74,27700420,PRJNA603321,SAMN16507407,10882578,1,VZA01706.B10,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327234,GSM4841706,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841706,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859964,OTHER,74,10684860,PRJNA603321,SAMN16507406,4236992,1,VZA01706.B11,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327235,GSM4841707,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841707,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859965,OTHER,74,15691626,PRJNA603321,SAMN16507405,6211206,1,VZA01706.B12,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327236,GSM4841708,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841708,DNTR-seq DNA library,SRP245376,48h,ETO 1uM
SRR12859966,OTHER,74,17317702,PRJNA603321,SAMN16507404,6841827,1,VZA01706.B13,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327237,GSM4841709,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841709,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859967,OTHER,74,22105872,PRJNA603321,SAMN16507403,8711647,1,VZA01706.B14,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327238,GSM4841710,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841710,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859968,OTHER,74,23733502,PRJNA603321,SAMN16507402,9300564,1,VZA01706.B15,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327239,GSM4841711,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841711,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
SRR12859969,OTHER,74,18845876,PRJNA603321,SAMN16507401,7442372,1,VZA01706.B16,HCT116,colorectal carcinoma,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9327240,GSM4841712,NextSeq 500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2020-10-22T00:00:00Z,GSM4841712,DNTR-seq DNA library,SRP245376,48h,ETO 3uM
