Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PASSAGE,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR11072920,RNA-Seq,300,6250417200,PRJNA606248,SAMN14088107,1996637281,hES1,embryonic stem cell,GEO,AIC (Feeders),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712669,GSM4307777,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,14,ILLUMINA,2020-04-23T00:00:00Z,GSM4307777,blastocyst,SRP248420
SRR11072921,RNA-Seq,300,6552457200,PRJNA606248,SAMN14088106,2025105152,hES1,embryonic stem cell,GEO,AIC (Matrigel),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712670,GSM4307778,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,18+19,ILLUMINA,2020-04-23T00:00:00Z,GSM4307778,blastocyst,SRP248420
SRR11072922,RNA-Seq,300,5518215000,PRJNA606248,SAMN14088104,1705397646,h1,embryonic stem cell,GEO,AIC (Matrigel),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712671,GSM4307779,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,9,ILLUMINA,2020-04-23T00:00:00Z,GSM4307779,blastocyst,SRP248420
SRR11072923,RNA-Seq,300,6464144700,PRJNA606248,SAMN14088103,2008924966,hES1,embryonic stem cell,GEO,AIC (suspension),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712672,GSM4307780,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,19+16,ILLUMINA,2020-04-23T00:00:00Z,GSM4307780,blastocyst,SRP248420
SRR11072924,RNA-Seq,300,6866374200,PRJNA606248,SAMN14088102,2199053765,hES1,embryonic stem cell,GEO,AIC (suspension),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712673,GSM4307781,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,18+5,ILLUMINA,2020-04-23T00:00:00Z,GSM4307781,blastocyst,SRP248420
SRR11072925,RNA-Seq,300,6909295500,PRJNA606248,SAMN14088101,2198909135,h1,embryonic stem cell,GEO,AIC (suspension),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712674,GSM4307782,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8+5,ILLUMINA,2020-04-23T00:00:00Z,GSM4307782,blastocyst,SRP248420
SRR11072926,RNA-Seq,300,7783119900,PRJNA606248,SAMN14088100,2457048152,h2,embryonic stem cell,GEO,AIC (Matrigel),public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712675,GSM4307783,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8,ILLUMINA,2020-04-23T00:00:00Z,GSM4307783,blastocyst,SRP248420
SRR11072927,RNA-Seq,300,7838871000,PRJNA606248,SAMN14088099,2505085529,h2,embryonic stem cell,GEO,AIC (suspension),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712676,GSM4307784,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8+5,ILLUMINA,2020-04-23T00:00:00Z,GSM4307784,blastocyst,SRP248420
SRR11072928,RNA-Seq,300,7139328900,PRJNA606248,SAMN14088098,2251990001,h3,embryonic stem cell,GEO,AIC (Matrigel),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712677,GSM4307785,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,10,ILLUMINA,2020-04-23T00:00:00Z,GSM4307785,blastocyst,SRP248420
SRR11072929,RNA-Seq,300,8308022100,PRJNA606248,SAMN14088097,2617045502,h3,embryonic stem cell,GEO,AIC (suspension),public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7712678,GSM4307786,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,8+7,ILLUMINA,2020-04-23T00:00:00Z,GSM4307786,blastocyst,SRP248420
