Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Development_stage,Experiment,GEO_Accession (exp),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TISSUE
SRR490961,RNA-Seq,100,4912766800,PRJNA153427,SAMN00989115,3214290150,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144340,GSM922146,Illumina HiSeq 2000,GSM922146: 4-cell embryo#1 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922146,4-cell embryo#1,SRP011546,human preimplantation embryos
SRR490962,RNA-Seq,100,4558321200,PRJNA153427,SAMN00989116,2932216467,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144341,GSM922147,Illumina HiSeq 2000,GSM922147: 4-cell embryo#1 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922147,4-cell embryo#1,SRP011546,human preimplantation embryos
SRR490963,RNA-Seq,100,4731986500,PRJNA153427,SAMN00989117,2937032250,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144342,GSM922148,Illumina HiSeq 2000,GSM922148: 4-cell embryo#1 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922148,4-cell embryo#1,SRP011546,human preimplantation embryos
SRR490964,RNA-Seq,100,3165148700,PRJNA153427,SAMN00989118,2035558003,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144343,GSM922149,Illumina HiSeq 2000,GSM922149: 4-cell embryo#1 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922149,4-cell embryo#1,SRP011546,human preimplantation embryos
SRR490965,RNA-Seq,100,5802118700,PRJNA153427,SAMN00989119,3960491833,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144344,GSM922150,Illumina HiSeq 2000,GSM922150: 4-cell embryo#2 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922150,4-cell embryo#2,SRP011546,human preimplantation embryos
SRR490966,RNA-Seq,100,5397053700,PRJNA153427,SAMN00989120,3679954583,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144345,GSM922151,Illumina HiSeq 2000,GSM922151: 4-cell embryo#2 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922151,4-cell embryo#2,SRP011546,human preimplantation embryos
SRR490967,RNA-Seq,100,4848734200,PRJNA153427,SAMN00989121,3308176302,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144346,GSM922152,Illumina HiSeq 2000,GSM922152: 4-cell embryo#2 -Cell#3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922152,4-cell embryo#2,SRP011546,human preimplantation embryos
SRR490968,RNA-Seq,100,6285084600,PRJNA153427,SAMN00989122,4291248301,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144347,GSM922153,Illumina HiSeq 2000,GSM922153: 4-cell embryo#2 -Cell#4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922153,4-cell embryo#2,SRP011546,human preimplantation embryos
SRR490969,RNA-Seq,100,5392881200,PRJNA153427,SAMN00989123,3684984013,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144348,GSM922154,Illumina HiSeq 2000,GSM922154: 4-cell embryo#3 -Cell#1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922154,4-cell embryo#3,SRP011546,human preimplantation embryos
SRR490970,RNA-Seq,100,5273575000,PRJNA153427,SAMN00989124,3605369700,human preimplantation blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",early blastomere,SRX144349,GSM922155,Illumina HiSeq 2000,GSM922155: 4-cell embryo#3 -Cell#2,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2013-08-12T00:00:00Z,GSM922155,4-cell embryo#3,SRP011546,human preimplantation embryos
