Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,ETHNICITY,supplementary_file,Strain,exome_capture
SRR893046,RNA-Seq,180,3387184740,PRJNA189204,SAMN02195141,2380304660,oocyte,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300873,GSM1160112,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160112,oocyte,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893047,RNA-Seq,180,3867413220,PRJNA189204,SAMN02195142,2729933980,oocyte,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300874,GSM1160113,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160113,oocyte,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893048,RNA-Seq,180,2863838340,PRJNA189204,SAMN02195143,1991257829,oocyte,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300875,GSM1160114,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160114,oocyte,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893049,RNA-Seq,180,4566156300,PRJNA189204,SAMN02195144,3233124376,pronucleus,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300876,GSM1160115,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160115,pronucleus,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893050,RNA-Seq,180,3894386760,PRJNA189204,SAMN02195145,2668259985,pronucleus,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300877,GSM1160116,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160116,pronucleus,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893051,RNA-Seq,180,4433937480,PRJNA189204,SAMN02195146,3146768217,pronucleus,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300878,GSM1160117,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160117,pronucleus,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893052,RNA-Seq,180,4323322980,PRJNA189204,SAMN02195147,3036323869,zygote,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300879,GSM1160118,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160118,zygote,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893053,RNA-Seq,180,3721384440,PRJNA189204,SAMN02195148,2607899945,zygote,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300880,GSM1160119,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160119,zygote,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893054,RNA-Seq,180,4024248300,PRJNA189204,SAMN02195149,2852992218,2-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300881,GSM1160120,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160120,2-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
SRR893055,RNA-Seq,180,3383175960,PRJNA189204,SAMN02195150,2261999631,2-cell blastomere,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX300882,GSM1160121,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-22T00:00:00Z,GSM1160121,2-cell blastomere,SRP018525,Han Chinese,Human_expression_mat.txt,,
