Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,molecule_subtype
SRR1295907,Bisulfite-Seq,202,5861631758,PRJNA215030,SAMN02797987,3740965418,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550378,GSM1396500,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396500,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295908,Bisulfite-Seq,202,3310282676,PRJNA215030,SAMN02797986,2198968269,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550379,GSM1396501,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396501,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295909,Bisulfite-Seq,202,4333343188,PRJNA215030,SAMN02797993,2406578826,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550380,GSM1396502,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396502,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295910,Bisulfite-Seq,202,1275479106,PRJNA215030,SAMN02797989,802878231,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550381,GSM1396503,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396503,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295911,Bisulfite-Seq,202,4345310072,PRJNA215030,SAMN02797991,2484330630,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550382,GSM1396504,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396504,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295912,Bisulfite-Seq,202,8066936660,PRJNA215030,SAMN02797994,5223852932,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550383,GSM1396505,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396505,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295913,Bisulfite-Seq,202,2765887828,PRJNA215030,SAMN02797990,1815632737,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550384,GSM1396506,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396506,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295914,Bisulfite-Seq,202,3467121334,PRJNA215030,SAMN02797996,2176481837,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550385,GSM1396507,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396507,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295915,Bisulfite-Seq,202,770934212,PRJNA215030,SAMN02797992,509672458,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550386,GSM1396508,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396508,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295916,Bisulfite-Seq,202,5862720336,PRJNA215030,SAMN02797998,3715657627,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550387,GSM1396509,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396509,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295917,Bisulfite-Seq,202,3604516482,PRJNA215030,SAMN02797995,2226252123,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550388,GSM1396510,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396510,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295918,Bisulfite-Seq,202,7326387894,PRJNA215030,SAMN02797999,4493261187,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550389,GSM1396511,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396511,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295919,Bisulfite-Seq,202,2295657078,PRJNA215030,SAMN02797997,1394398698,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550390,GSM1396512,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396512,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295920,Bisulfite-Seq,202,1250383232,PRJNA215030,SAMN02798002,733905562,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550391,GSM1396513,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396513,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295921,Bisulfite-Seq,202,2515102202,PRJNA215030,SAMN02798000,1576540747,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550392,GSM1396514,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396514,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295922,Bisulfite-Seq,202,1269880474,PRJNA215030,SAMN02798008,810898962,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550393,GSM1396515,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396515,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295923,Bisulfite-Seq,202,1589664250,PRJNA215030,SAMN02798001,1034093037,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550394,GSM1396516,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396516,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295924,Bisulfite-Seq,202,2841283116,PRJNA215030,SAMN02798005,1865272928,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550395,GSM1396517,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396517,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295925,Bisulfite-Seq,202,2469085390,PRJNA215030,SAMN02798003,1619982635,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550396,GSM1396518,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396518,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295926,Bisulfite-Seq,202,684432358,PRJNA215030,SAMN02798004,375593467,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550397,GSM1396519,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396519,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295927,Bisulfite-Seq,202,2917029682,PRJNA215030,SAMN02798011,1981803292,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550398,GSM1396520,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396520,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
SRR1295928,Bisulfite-Seq,202,8579528628,PRJNA215030,SAMN02798010,5631916957,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",zygote,SRX550399,GSM1396521,Illumina HiSeq 2000,PAIRED,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2014-07-24T00:00:00Z,GSM1396521,pronucleus,SRP028804,MspI digested and bisulfite treated genomic DNA
