Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TREATMENT,surface_antigen_enrichment,Cell_Line
SRR1633231,RNA-Seq,202,2936930924,PRJNA265099,SAMN03145546,2246365071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745173,GSM1533212,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533212,reprogramming intermediates of hiF-T cells,SRP049340,no DOX,,
SRR1633237,RNA-Seq,200,1634941800,PRJNA265099,SAMN03145526,985720001,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745176,GSM1533215,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533215,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-2,,
SRR1633238,RNA-Seq,200,1224388400,PRJNA265099,SAMN03145526,708227335,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745176,GSM1533215,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533215,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-2,,
SRR1633244,RNA-Seq,200,1441766600,PRJNA265099,SAMN03145537,871491227,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745178,GSM1533217,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533217,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-5,,
SRR1633245,RNA-Seq,200,1133917200,PRJNA265099,SAMN03145537,658598594,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745178,GSM1533217,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533217,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-5,,
SRR1633246,RNA-Seq,200,1126378400,PRJNA265099,SAMN03145537,651029071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745178,GSM1533217,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533217,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-5,,
SRR1633249,RNA-Seq,202,2681281542,PRJNA265099,SAMN03145528,2041448611,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745180,GSM1533219,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533219,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-8,,
SRR1633257,RNA-Seq,200,1219722000,PRJNA265099,SAMN03145524,705048244,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745183,GSM1533222,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533222,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-10,,
SRR1633258,RNA-Seq,200,1202034800,PRJNA265099,SAMN03145524,691864634,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745183,GSM1533222,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533222,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-10,,
SRR1633259,RNA-Seq,200,1535104400,PRJNA265099,SAMN03145547,924968567,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745184,GSM1533223,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533223,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-10,SSEA3-,
SRR1633260,RNA-Seq,200,1129270000,PRJNA265099,SAMN03145547,653509367,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745184,GSM1533223,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533223,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-10,SSEA3-,
SRR1633263,RNA-Seq,200,667542600,PRJNA265099,SAMN03145532,387646240,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745185,GSM1533224,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533224,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-14,SSEA3+,
SRR1633268,RNA-Seq,200,774152600,PRJNA265099,SAMN03145540,448947108,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745187,GSM1533226,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533226,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-14,,
SRR1633270,RNA-Seq,200,835278800,PRJNA265099,SAMN03145529,504339516,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745188,GSM1533227,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533227,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-14,SSEA3-,
SRR1633271,RNA-Seq,200,600835400,PRJNA265099,SAMN03145529,348500980,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745188,GSM1533227,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533227,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-14,SSEA3-,
SRR1633273,RNA-Seq,200,1229316200,PRJNA265099,SAMN03145548,740272588,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745189,GSM1533228,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533228,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-20,TRA-1-60+,
SRR1633278,RNA-Seq,202,3230992424,PRJNA265099,SAMN03145553,2438923082,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745191,GSM1533230,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533230,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-20,TRA-1-60-,
SRR1633280,RNA-Seq,202,2447070016,PRJNA265099,SAMN03145553,1863278580,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX745191,GSM1533230,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-07-16T00:00:00Z,GSM1533230,reprogramming intermediates of hiF-T cells,SRP049340,DOX days 0-20,TRA-1-60-,
