Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR1639624,OTHER,202,18582738914,PRJNA266282,SAMN03160688,10993116677,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750519,GSM1537116,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537116,Breast Cancer cell line,SRP049500
SRR1639626,OTHER,202,6082558754,PRJNA266282,SAMN03160689,4184318970,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750521,GSM1537118,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537118,Breast Cancer cell line,SRP049500
SRR1639627,OTHER,202,6813914500,PRJNA266282,SAMN03160702,4495476726,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750522,GSM1537119,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537119,Breast Cancer cell line,SRP049500
SRR1639628,OTHER,202,6982031020,PRJNA266282,SAMN03160698,5116282431,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750523,GSM1537120,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537120,Breast Cancer cell line,SRP049500
SRR1639629,OTHER,102,4611908376,PRJNA266282,SAMN03160694,3083461710,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750524,GSM1537121,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537121,Breast Cancer cell line,SRP049500
SRR1639630,OTHER,102,4862510136,PRJNA266282,SAMN03160701,3309724365,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750525,GSM1537122,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537122,Breast Cancer cell line,SRP049500
SRR1639631,OTHER,102,3814041630,PRJNA266282,SAMN03160704,2556760869,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750526,GSM1537123,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537123,Breast Cancer cell line,SRP049500
SRR1639632,OTHER,102,4602937476,PRJNA266282,SAMN03160697,2924907166,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750527,GSM1537124,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537124,Mouse Embryonic Stem Cell line,SRP049500
SRR1639634,OTHER,102,4415047560,PRJNA266282,SAMN03160691,2832146169,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750529,GSM1537126,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537126,Mouse Embryonic Stem Cell line,SRP049500
SRR1639635,OTHER,102,5706339612,PRJNA266282,SAMN03160696,3058443787,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750530,GSM1537127,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537127,Mouse Embryonic Stem Cell line,SRP049500
SRR1639636,RNA-Seq,102,3289413606,PRJNA266282,SAMN03160705,1735152914,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750531,GSM1537128,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537128,Mouse Embryonic Stem Cell line,SRP049500
SRR1639637,RNA-Seq,202,4873705712,PRJNA266282,SAMN03160700,2859549977,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750532,GSM1537129,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537129,Breast Cancer cell line,SRP049500
SRR1639638,RNA-Seq,202,6018148832,PRJNA266282,SAMN03160693,4469709504,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750533,GSM1537130,Illumina HiSeq 2500,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537130,Breast Cancer cell line,SRP049500
SRR1639639,RNA-Seq,202,5345923132,PRJNA266282,SAMN03160703,4202728612,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750534,GSM1537131,Illumina HiSeq 2500,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537131,Mouse Embryonic Stem Cell line,SRP049500
SRR1639640,OTHER,102,3802285212,PRJNA266282,SAMN03160692,2221903391,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750535,GSM1537132,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537132,Mouse Embryonic Stem Cell line,SRP049500
SRR1639641,OTHER,102,3011346000,PRJNA266282,SAMN03160690,1746994242,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750536,GSM1537133,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537133,Mouse Embryonic Stem Cell line,SRP049500
SRR1639642,OTHER,102,2792210832,PRJNA266282,SAMN03160706,1685334102,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750537,GSM1537134,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537134,Mouse Embryonic Stem Cell line,SRP049500
SRR1639633,OTHER,102,4161702816,PRJNA266282,SAMN03160695,2615099885,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750528,GSM1537125,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537125,Mouse Embryonic Stem Cell line,SRP049500
SRR1639625,OTHER,202,5580537446,PRJNA266282,SAMN03160687,3512338557,SK-BR-3,Breast Cancer cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750520,GSM1537117,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2014-12-11T00:00:00Z,GSM1537117,Breast Cancer cell line,SRP049500
SRR1639643,RNA-Seq,102,3525255150,PRJNA266282,SAMN03160699,2490225507,E14,Mouse Embryonic Stem Cell line,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX750538,GSM1537135,Illumina HiSeq 2500,PAIRED,other,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2014-12-11T00:00:00Z,GSM1537135,Mouse Embryonic Stem Cell line,SRP049500
