Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR1732018,RNA-Seq,200,800000000,PRJNA270993,SAMN03272109,585181823,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821399,GSM1571055,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571055,SRP051472
SRR1732019,RNA-Seq,200,800000000,PRJNA270993,SAMN03272156,582276319,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821400,GSM1571056,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571056,SRP051472
SRR1732020,RNA-Seq,200,800000000,PRJNA270993,SAMN03272137,587136651,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821401,GSM1571057,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571057,SRP051472
SRR1732021,RNA-Seq,200,800000000,PRJNA270993,SAMN03272147,574947043,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821402,GSM1571058,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571058,SRP051472
SRR1732022,RNA-Seq,200,800000000,PRJNA270993,SAMN03272123,581662398,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821403,GSM1571059,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571059,SRP051472
SRR1732023,RNA-Seq,200,800000000,PRJNA270993,SAMN03272102,582362039,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821404,GSM1571060,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571060,SRP051472
SRR1732024,RNA-Seq,200,290727400,PRJNA270993,SAMN03272159,207163447,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821405,GSM1571061,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571061,SRP051472
SRR1732025,RNA-Seq,200,800000000,PRJNA270993,SAMN03272166,582414061,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821406,GSM1571062,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571062,SRP051472
SRR1732026,RNA-Seq,200,800000000,PRJNA270993,SAMN03272116,577534549,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821407,GSM1571063,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571063,SRP051472
SRR1732027,RNA-Seq,200,800000000,PRJNA270993,SAMN03272146,583475979,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821408,GSM1571064,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571064,SRP051472
SRR1732028,RNA-Seq,200,800000000,PRJNA270993,SAMN03272149,571109564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821409,GSM1571065,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571065,SRP051472
SRR1732029,RNA-Seq,200,800000000,PRJNA270993,SAMN03272135,579029670,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821410,GSM1571066,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571066,SRP051472
SRR1732030,RNA-Seq,200,800000000,PRJNA270993,SAMN03272097,577845411,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821411,GSM1571067,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571067,SRP051472
SRR1732031,RNA-Seq,200,558390000,PRJNA270993,SAMN03272100,400354485,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821412,GSM1571068,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571068,SRP051472
SRR1732032,RNA-Seq,200,800000000,PRJNA270993,SAMN03272096,586997450,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821413,GSM1571069,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571069,SRP051472
SRR1732033,RNA-Seq,200,800000000,PRJNA270993,SAMN03272098,582286811,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821414,GSM1571070,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571070,SRP051472
SRR1732034,RNA-Seq,200,800000000,PRJNA270993,SAMN03272101,587845564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821415,GSM1571071,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571071,SRP051472
SRR1732035,RNA-Seq,200,800000000,PRJNA270993,SAMN03272165,576542731,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821416,GSM1571072,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571072,SRP051472
SRR1732036,RNA-Seq,200,800000000,PRJNA270993,SAMN03272150,583590657,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821417,GSM1571073,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571073,SRP051472
SRR1732037,RNA-Seq,200,800000000,PRJNA270993,SAMN03272134,582198337,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821418,GSM1571074,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571074,SRP051472
SRR1732038,RNA-Seq,200,509870000,PRJNA270993,SAMN03272099,368235586,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821419,GSM1571075,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571075,SRP051472
SRR1732039,RNA-Seq,200,800000000,PRJNA270993,SAMN03272151,587238110,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821420,GSM1571076,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571076,SRP051472
SRR1732040,RNA-Seq,200,800000000,PRJNA270993,SAMN03272130,589892529,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821421,GSM1571077,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571077,SRP051472
SRR1732041,RNA-Seq,200,800000000,PRJNA270993,SAMN03272163,584278798,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821422,GSM1571078,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571078,SRP051472
SRR1732042,RNA-Seq,200,800000000,PRJNA270993,SAMN03272121,587249892,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821423,GSM1571079,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571079,SRP051472
SRR1732043,RNA-Seq,200,797990800,PRJNA270993,SAMN03272126,580694314,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821424,GSM1571080,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571080,SRP051472
SRR1732044,RNA-Seq,200,800000000,PRJNA270993,SAMN03272164,582918544,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821425,GSM1571081,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571081,SRP051472
SRR1732045,RNA-Seq,200,800000000,PRJNA270993,SAMN03272106,586788059,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821426,GSM1571082,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571082,SRP051472
SRR1732046,RNA-Seq,200,800000000,PRJNA270993,SAMN03272131,581807509,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821427,GSM1571083,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571083,SRP051472
SRR1732047,RNA-Seq,200,800000000,PRJNA270993,SAMN03272145,581813247,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821428,GSM1571084,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571084,SRP051472
SRR1732048,RNA-Seq,200,446234800,PRJNA270993,SAMN03272107,324061044,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821429,GSM1571085,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571085,SRP051472
SRR1732049,RNA-Seq,200,800000000,PRJNA270993,SAMN03272161,583435292,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821430,GSM1571086,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571086,SRP051472
SRR1732050,RNA-Seq,200,800000000,PRJNA270993,SAMN03272127,580222739,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821431,GSM1571087,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571087,SRP051472
SRR1732051,RNA-Seq,200,800000000,PRJNA270993,SAMN03272155,585788231,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821432,GSM1571088,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571088,SRP051472
SRR1732052,RNA-Seq,200,800000000,PRJNA270993,SAMN03272110,575209827,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821433,GSM1571089,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571089,SRP051472
SRR1732053,RNA-Seq,200,800000000,PRJNA270993,SAMN03272129,582051801,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX821434,GSM1571090,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2015-06-26T00:00:00Z,GSM1571090,SRP051472
