Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,predicted_viability,ReleaseDate,Sample Name,source_name,SRA Study,tissue_type
SRR1782580,RNA-Seq,202,9207304632,PRJNA274140,SAMN03322767,5868216526,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861638,GSM1598282,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598282,Human zygote (2PN),SRP053004,embryo
SRR1782581,RNA-Seq,202,7682958496,PRJNA274140,SAMN03322772,4997067782,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861639,GSM1598283,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598283,Human zygote (2PN),SRP053004,embryo
SRR1782582,RNA-Seq,202,12709628910,PRJNA274140,SAMN03322768,8154327961,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861640,GSM1598284,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598284,Human zygote (2PN),SRP053004,embryo
SRR1782583,RNA-Seq,202,7374283508,PRJNA274140,SAMN03322770,4831487963,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861641,GSM1598285,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598285,Human zygote (2PN),SRP053004,embryo
SRR1782584,RNA-Seq,202,7286768422,PRJNA274140,SAMN03322771,4796939306,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861642,GSM1598286,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598286,Human zygote (2PN),SRP053004,embryo
SRR1782585,RNA-Seq,202,8393490668,PRJNA274140,SAMN03322769,5455517564,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861643,GSM1598287,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598287,Human zygote (2PN),SRP053004,embryo
SRR1782586,RNA-Seq,202,8619979532,PRJNA274140,SAMN03322782,5605432343,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861644,GSM1598288,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598288,Human zygote (2PN),SRP053004,embryo
SRR1782587,RNA-Seq,202,9612994766,PRJNA274140,SAMN03322788,6076378999,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861645,GSM1598289,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598289,Human zygote (2PN),SRP053004,embryo
SRR1782588,RNA-Seq,202,6362667508,PRJNA274140,SAMN03322777,4118535110,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861646,GSM1598290,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,good,2015-12-01T00:00:00Z,GSM1598290,Human zygote (2PN),SRP053004,embryo
SRR1782589,RNA-Seq,202,7288331902,PRJNA274140,SAMN03322787,4607832970,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861647,GSM1598291,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598291,Human zygote (2PN),SRP053004,embryo
SRR1782590,RNA-Seq,202,13107519622,PRJNA274140,SAMN03322779,8224637709,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2PN zygote,SRX861648,GSM1598292,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,bad,2015-12-01T00:00:00Z,GSM1598292,Human zygote (2PN),SRP053004,embryo
