Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Development_stage,Experiment,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Strain,Tissue
SRR2089507,RNA-Seq,216,3358752048,PRJNA289146,SAMN03842656,1536951748,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084758,wild type,GSM1811625,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811625,NT 2-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089508,RNA-Seq,216,2679883704,PRJNA289146,SAMN03842657,1210937094,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084759,wild type,GSM1811626,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811626,NT 2-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089509,RNA-Seq,216,2146951656,PRJNA289146,SAMN03842658,975509488,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084760,wild type,GSM1811627,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811627,NT 2-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089510,RNA-Seq,202,3206367210,PRJNA289146,SAMN03842659,1518570138,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084761,wild type,GSM1811628,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811628,NT 2-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089511,RNA-Seq,202,2888142268,PRJNA289146,SAMN03842660,1397303035,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084762,wild type,GSM1811629,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811629,NT 2-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089512,RNA-Seq,202,3095802106,PRJNA289146,SAMN03842661,1433873448,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084763,wild type,GSM1811630,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811630,NT 2-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089513,RNA-Seq,202,3122449744,PRJNA289146,SAMN03842662,1459387672,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084764,wild type,GSM1811631,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811631,NT 2-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089514,RNA-Seq,202,3169379394,PRJNA289146,SAMN03842663,1478025490,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2-cell,SRX1084765,wild type,GSM1811632,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811632,NT 2-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089515,RNA-Seq,202,1987577586,PRJNA289146,SAMN03842664,1026865724,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084766,wild type,GSM1811633,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811633,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
SRR2089516,RNA-Seq,202,3054069310,PRJNA289146,SAMN03842665,1376937313,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",4-cell,SRX1084767,wild type,GSM1811634,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2016-05-17T00:00:00Z,GSM1811634,NT 4-cell arrest,SRP060478,B6D2F1 (C57BL/6 X DBA/2),nuclear transfer embryo
