Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Cell_type,Passage,Tissue
SRR2130085,RNA-Seq,250,2426018250,PRJNA291062,SAMN03939191,1218936099,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120836,GSM1833279,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833279,human MII oocyte,SRP061636,MII oocyte,,
SRR2130086,RNA-Seq,250,2915951750,PRJNA291062,SAMN03939192,1449067269,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120837,GSM1833280,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833280,human MII oocyte,SRP061636,MII oocyte,,
SRR2130087,RNA-Seq,250,4260852000,PRJNA291062,SAMN03939193,2236118742,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120838,GSM1833281,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833281,human MII oocyte,SRP061636,MII oocyte,,
SRR2130088,RNA-Seq,250,5076191000,PRJNA291062,SAMN03939194,2647103000,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120839,GSM1833282,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833282,human MII oocyte,SRP061636,MII oocyte,,
SRR2130089,RNA-Seq,250,2940412750,PRJNA291062,SAMN03939195,1514338463,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120840,GSM1833283,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833283,human zygote,SRP061636,zygote,,
SRR2130090,RNA-Seq,250,3243642250,PRJNA291062,SAMN03939196,1690770708,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120841,GSM1833284,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833284,human zygote,SRP061636,zygote,,
SRR2130091,RNA-Seq,250,4952469750,PRJNA291062,SAMN03939197,2576044576,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120842,GSM1833285,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833285,human zygote,SRP061636,zygote,,
SRR2130092,RNA-Seq,250,5038864000,PRJNA291062,SAMN03939198,2609183813,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120843,GSM1833286,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833286,human zygote,SRP061636,zygote,,
SRR2130093,RNA-Seq,250,5576614250,PRJNA291062,SAMN03939199,2848397869,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120844,GSM1833287,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833287,human zygote,SRP061636,zygote,,
SRR2130094,RNA-Seq,250,2562050500,PRJNA291062,SAMN03939200,1299692426,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1120845,GSM1833288,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-05-13T00:00:00Z,GSM1833288,human 2 cell,SRP061636,2 cell,,
