Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,combined_analysis_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2183355,RNA-Seq,202,9396321890,PRJNA293908,SAMN04011902,6194171745,GEO,GV_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Immature oocyte,SRX1164514,GSM1861606,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861606,Oocyte,SRP062850
SRR2183356,RNA-Seq,202,6095590178,PRJNA293908,SAMN04011902,3941858909,GEO,GV_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Immature oocyte,SRX1164514,GSM1861606,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861606,Oocyte,SRP062850
SRR2183357,RNA-Seq,202,9870536484,PRJNA293908,SAMN04011903,6467393973,GEO,GV_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Immature oocyte,SRX1164515,GSM1861607,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861607,Oocyte,SRP062850
SRR2183358,RNA-Seq,202,9910509052,PRJNA293908,SAMN04011903,6620667149,GEO,GV_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Immature oocyte,SRX1164515,GSM1861607,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861607,Oocyte,SRP062850
SRR2183359,RNA-Seq,202,11471489302,PRJNA293908,SAMN04011904,7544008484,GEO,MI_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Immature oocyte,SRX1164516,GSM1861608,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861608,Oocyte,SRP062850
SRR2183360,RNA-Seq,202,7735873002,PRJNA293908,SAMN04011904,4973527374,GEO,MI_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Immature oocyte,SRX1164516,GSM1861608,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861608,Oocyte,SRP062850
SRR2183361,RNA-Seq,202,13783217702,PRJNA293908,SAMN04011905,8924878113,GEO,MI_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Immature oocyte,SRX1164517,GSM1861609,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861609,Oocyte,SRP062850
SRR2183362,RNA-Seq,202,9616057086,PRJNA293908,SAMN04011905,6472651667,GEO,MI_rep2,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Immature oocyte,SRX1164517,GSM1861609,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861609,Oocyte,SRP062850
SRR2183363,RNA-Seq,202,8710373320,PRJNA293908,SAMN04011906,5740781237,GEO,MII_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Mature oocyte,SRX1164518,GSM1861610,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861610,Oocyte,SRP062850
SRR2183364,RNA-Seq,202,12539908106,PRJNA293908,SAMN04011906,8425696319,GEO,MII_rep1,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Mature oocyte,SRX1164518,GSM1861610,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-03T00:00:00Z,GSM1861610,Oocyte,SRP062850
