Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,data_set,AssemblyName
SRR9908388,Bisulfite-Seq,29,658198181,PRJNA296379,SAMN12497963,381429913,Fibroblast,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658463,GSM4007715,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007715,HUES2,SRP063867,,GCA_000001405.13
SRR9908389,Bisulfite-Seq,29,747623741,PRJNA296379,SAMN12497962,428946632,Fibroblast,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658464,GSM4007716,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007716,HUES3,SRP063867,,GCA_000001405.13
SRR9908390,Bisulfite-Seq,29,347698226,PRJNA296379,SAMN12497961,203118515,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658465,GSM4007717,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007717,HUES2,SRP063867,,GCA_000001405.13
SRR9908391,Bisulfite-Seq,29,471216505,PRJNA296379,SAMN12497960,269777688,iPSC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658466,GSM4007718,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007718,HUES2,SRP063867,,GCA_000001405.13
SRR9908392,Bisulfite-Seq,29,665974995,PRJNA296379,SAMN12497959,382838280,iPSC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658467,GSM4007719,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007719,HUES3,SRP063867,,GCA_000001405.13
SRR9908393,Bisulfite-Seq,36,1102437720,PRJNA296379,SAMN12497958,409909251,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658468,GSM4007720,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007720,HUES3,SRP063867,,GCA_000001405.13
SRR9908394,Bisulfite-Seq,36,1131797412,PRJNA296379,SAMN12497958,386824493,ESC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658468,GSM4007720,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007720,HUES3,SRP063867,,GCA_000001405.13
SRR9908395,Bisulfite-Seq,51,2959430,PRJNA296379,SAMN12497957,1624084,iPSC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658469,GSM4007721,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007721,HUES2,SRP063867,,GCA_000001405.13
SRR9908397,Bisulfite-Seq,52,40540832,PRJNA296379,SAMN12497957,15083775,iPSC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658469,GSM4007721,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007721,HUES2,SRP063867,,GCA_000001405.13
SRR9908398,Bisulfite-Seq,50,59986600,PRJNA296379,SAMN12497954,21929751,iPSC,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX6658470,GSM4007722,Illumina HiSeq 2000,SINGLE,Reduced Representation,GENOMIC,Homo sapiens,ILLUMINA,2019-10-24T00:00:00Z,GSM4007722,HUES3,SRP063867,,GCA_000001405.13
