Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TREATMENT,Time
SRR3027593,RNA-Seq,300,15387572100,PRJNA306224,SAMN04348505,6553537005,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488632,GSM1974247,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974247,hESCs-derived hepatocytes with SB at day 15,SRP067492,SB,day 15
SRR3027594,RNA-Seq,300,13382378700,PRJNA306224,SAMN04348506,5646170123,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488633,GSM1974248,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974248,hESCs-derived hepatocytes with SB at day 15,SRP067492,SB,day 15
SRR3027579,RNA-Seq,300,11756085000,PRJNA306224,SAMN04348491,5140126632,primary hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488618,GSM1974233,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974233,primary human hepatocytes isolated from adult liver,SRP067492,,
SRR3027580,RNA-Seq,300,10345153800,PRJNA306224,SAMN04348492,4526182855,primary hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488619,GSM1974234,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974234,primary human hepatocytes isolated from adult liver,SRP067492,,
SRR3027581,RNA-Seq,250,4506149750,PRJNA306224,SAMN04348493,2256237711,fetal hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488620,GSM1974235,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974235,fetal hepatocytes isolated from fetal liver,SRP067492,,
SRR3027582,RNA-Seq,250,5847169250,PRJNA306224,SAMN04348494,2945361042,fetal hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488621,GSM1974236,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974236,fetal hepatocytes isolated from fetal liver,SRP067492,,
SRR3027583,RNA-Seq,300,12195565200,PRJNA306224,SAMN04348495,5229039323,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488622,GSM1974237,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974237,hESCs-derived hepatocytes,SRP067492,,
SRR3027584,RNA-Seq,300,12706969500,PRJNA306224,SAMN04348496,5419495862,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488623,GSM1974238,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974238,hESCs-derived hepatocytes,SRP067492,,
SRR3027585,RNA-Seq,300,12670560300,PRJNA306224,SAMN04348497,5451845013,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488624,GSM1974239,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974239,hESCs-derived hepatocytes with SB,SRP067492,SB,
SRR3027586,RNA-Seq,300,14346007500,PRJNA306224,SAMN04348498,6129406441,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488625,GSM1974240,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974240,hESCs-derived hepatocytes with SB,SRP067492,SB,
SRR3027587,RNA-Seq,300,12205416000,PRJNA306224,SAMN04348499,5188422935,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488626,GSM1974241,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974241,hESCs-derived hepatocytes with VK2,SRP067492,VK2,
SRR3027588,RNA-Seq,300,13585413900,PRJNA306224,SAMN04348500,5818349095,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488627,GSM1974242,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974242,hESCs-derived hepatocytes with VK2,SRP067492,VK2,
SRR3027589,RNA-Seq,300,11036329800,PRJNA306224,SAMN04348501,5083972892,ESC-derived hepatic stem cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488628,GSM1974243,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974243,hESCs-derived hepatic stem cells,SRP067492,,
SRR3027590,RNA-Seq,300,13838084100,PRJNA306224,SAMN04348502,5788185934,ESC-derived hepatic stem cells,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488629,GSM1974244,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974244,hESCs-derived hepatic stem cells,SRP067492,,
SRR3027591,RNA-Seq,300,11638542900,PRJNA306224,SAMN04348503,4901263878,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488630,GSM1974245,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974245,hESCs-derived hepatocytes at day 15,SRP067492,,day 15
SRR3027592,RNA-Seq,300,11564237700,PRJNA306224,SAMN04348504,4849438018,ESC-derived hepatocytes,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1488631,GSM1974246,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-02-13T00:00:00Z,GSM1974246,hESCs-derived hepatocytes at day 15,SRP067492,,day 15
