Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TREATMENT,Antibody
SRR3542920,RNA-Seq,170,6314096480,PRJNA322087,SAMN05013692,4651933650,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774220,GSM2159741,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159741,H1-hESC,SRP075378,None,
SRR3542927,ChIP-Seq,50,1460611200,PRJNA322087,SAMN05013699,951841130,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774227,GSM2159748,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159748,H1-hESC,SRP075378,None,H3K27me3
SRR3542928,ChIP-Seq,50,1185265400,PRJNA322087,SAMN05013700,761651824,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774228,GSM2159749,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159749,H1-hESC,SRP075378,None,H3K4me3
SRR3542929,ChIP-Seq,50,1155815350,PRJNA322087,SAMN05013701,748354039,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774229,GSM2159750,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159750,H1-hESC,SRP075378,Activin A + Wnt3a 2h,H3K27me3
SRR3542930,ChIP-Seq,50,1096641550,PRJNA322087,SAMN05013702,701604520,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774230,GSM2159751,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159751,H1-hESC,SRP075378,Activin A + Wnt3a 2h,H3K4me3
SRR3542931,ChIP-Seq,50,1203749650,PRJNA322087,SAMN05013703,796127861,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774231,GSM2159752,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159752,H1-hESC,SRP075378,Activin A + Wnt3a 6h,H3K27me3
SRR3542932,ChIP-Seq,50,1224025950,PRJNA322087,SAMN05013704,820039411,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774232,GSM2159753,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159753,H1-hESC,SRP075378,Activin A + Wnt3a 6h,H3K4me3
SRR3542921,RNA-Seq,170,9485048340,PRJNA322087,SAMN05013693,6778750828,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774221,GSM2159742,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159742,H1-hESC,SRP075378,Activin A 6h,
SRR3542922,RNA-Seq,170,7156413500,PRJNA322087,SAMN05013694,5260110135,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774222,GSM2159743,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159743,H1-hESC,SRP075378,Wnt3a 6h,
SRR3542923,RNA-Seq,170,7042454850,PRJNA322087,SAMN05013695,5190825495,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774223,GSM2159744,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159744,H1-hESC,SRP075378,Activin A + Wnt3a 6h,
SRR3542924,RNA-Seq,170,8451232270,PRJNA322087,SAMN05013696,6028286870,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774224,GSM2159745,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159745,H1-hESC,SRP075378,Activin A 24h,
SRR3542925,RNA-Seq,170,8468229550,PRJNA322087,SAMN05013697,6049489972,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774225,GSM2159746,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159746,H1-hESC,SRP075378,Wnt3a 24h,
SRR3542926,RNA-Seq,170,7209951260,PRJNA322087,SAMN05013698,5147828710,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774226,GSM2159747,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159747,H1-hESC,SRP075378,Activin A + Wnt3a 24h,
SRR3542933,ChIP-Seq,50,1224119550,PRJNA322087,SAMN05013705,766253996,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774233,GSM2159754,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159754,H1-hESC,SRP075378,None,None
SRR3542934,ChIP-Seq,50,988553950,PRJNA322087,SAMN05013706,623865676,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1774234,GSM2159755,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-30T00:00:00Z,GSM2159755,H1-hESC,SRP075378,Activin A + Wnt3a 2h,None
