Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),growth_conditions,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source/differentiation,source_name,SRA Study
SRR4044504,RNA-Seq,150,7329487950,PRJNA339538,SAMN05595827,2402499083,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035377,GSM2285362,grown in basal medium,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285362,commercial purification,primary fetal microglia,SRP082406
SRR4044505,RNA-Seq,150,7207729050,PRJNA339538,SAMN05595826,2370879372,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035378,GSM2285363,grown in basal medium,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285363,commercial purification,primary fetal microglia,SRP082406
SRR4044506,RNA-Seq,150,7365180150,PRJNA339538,SAMN05595825,2396283157,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035379,GSM2285364,grown in neural conditioned medium NCM,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285364,commercial purification,primary fetal microglia,SRP082406
SRR4044507,RNA-Seq,150,6302106150,PRJNA339538,SAMN05595824,2067441708,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035380,GSM2285365,grown in basal medium,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285365,iPS-derived,induced microglia-like cell,SRP082406
SRR4044508,RNA-Seq,150,6283827900,PRJNA339538,SAMN05595823,2045737888,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035381,GSM2285366,grown in basal medium,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285366,iPS-derived,induced microglia-like cell,SRP082406
SRR4044511,RNA-Seq,150,6567602400,PRJNA339538,SAMN05595820,2135291593,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035384,GSM2285369,grown in basal medium,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285369,iPS-derived,induced microglia-like cell,SRP082406
SRR4044512,RNA-Seq,150,6587858400,PRJNA339538,SAMN05595819,2144390395,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035385,GSM2285370,grown in basal medium,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285370,hES-derived,induced microglia-like cell,SRP082406
SRR4044513,RNA-Seq,150,7252659000,PRJNA339538,SAMN05595818,2358411840,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035386,GSM2285371,grown in neural conditioned medium NCM (Transwell co-culture),Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285371,iPS-derived,induced microglia-like cell,SRP082406
SRR4044514,RNA-Seq,150,6912477150,PRJNA339538,SAMN05595817,2274158445,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035387,GSM2285372,grown in neural conditioned medium NCM (Transwell co-culture),Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285372,iPS-derived,induced microglia-like cell,SRP082406
SRR4044515,RNA-Seq,150,6796107150,PRJNA339538,SAMN05595828,2226961737,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2035388,GSM2285373,grown in neural conditioned medium NCM (Transwell co-culture),Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-26T00:00:00Z,GSM2285373,iPS-derived,induced microglia-like cell,SRP082406
