Run,age_category,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,maternal_age,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,TISSUE
SRR5295888,young,RNA-Seq,200,5511813600,PRJNA377237,SAMN06468334,3757678621,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",germinal vesicle,SRX2598401,GSM2514771,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,27,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514771,YNG GV_oocyte,SRP100829,oocyte
SRR5295889,young,RNA-Seq,200,6211342200,PRJNA377237,SAMN06468333,4065149726,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",metaphase II,SRX2598402,GSM2514772,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,27,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514772,YNG MII_oocyte,SRP100829,oocyte
SRR5295890,young,RNA-Seq,200,4728105200,PRJNA377237,SAMN06468332,3221279162,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",germinal vesicle,SRX2598403,GSM2514773,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,29,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514773,YNG GV_oocyte,SRP100829,oocyte
SRR5295891,young,RNA-Seq,200,5733207800,PRJNA377237,SAMN06468331,3895194234,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",metaphase II,SRX2598404,GSM2514774,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,29,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514774,YNG MII_oocyte,SRP100829,oocyte
SRR5295892,young,RNA-Seq,200,5725706000,PRJNA377237,SAMN06468330,3778900001,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",germinal vesicle,SRX2598405,GSM2514775,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,29,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514775,YNG GV_oocyte,SRP100829,oocyte
SRR5295893,young,RNA-Seq,200,5155948400,PRJNA377237,SAMN06468329,3388098904,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",metaphase II,SRX2598406,GSM2514776,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,29,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514776,YNG MII_oocyte,SRP100829,oocyte
SRR5295894,advanced maternal age,RNA-Seq,200,4174603600,PRJNA377237,SAMN06468328,2832672928,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",germinal vesicle,SRX2598407,GSM2514777,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,40,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514777,AMA GV_oocyte,SRP100829,oocyte
SRR5295895,advanced maternal age,RNA-Seq,200,4960821000,PRJNA377237,SAMN06468327,3390909350,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",metaphase II,SRX2598408,GSM2514778,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,40,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514778,AMA MII_oocyte,SRP100829,oocyte
SRR5295896,young,RNA-Seq,200,4878603800,PRJNA377237,SAMN06468326,3146365930,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",germinal vesicle,SRX2598409,GSM2514779,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,29,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514779,YNG GV_oocyte,SRP100829,oocyte
SRR5295897,young,RNA-Seq,200,6005016000,PRJNA377237,SAMN06468325,3863313540,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",metaphase II,SRX2598410,GSM2514780,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,29,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514780,YNG MII_oocyte,SRP100829,oocyte
SRR5295898,advanced maternal age,RNA-Seq,200,5756033800,PRJNA377237,SAMN06468324,3919011441,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",germinal vesicle,SRX2598411,GSM2514781,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,43,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514781,AMA GV_oocyte,SRP100829,oocyte
SRR5295899,advanced maternal age,RNA-Seq,200,6326925600,PRJNA377237,SAMN06468323,4295185197,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",metaphase II,SRX2598412,GSM2514782,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,43,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514782,AMA MII_oocyte,SRP100829,oocyte
SRR5295900,young,RNA-Seq,200,5957846200,PRJNA377237,SAMN06468322,4040374616,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",germinal vesicle,SRX2598413,GSM2514783,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,20,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514783,YNG GV_oocyte,SRP100829,oocyte
SRR5295901,young,RNA-Seq,200,6288872800,PRJNA377237,SAMN06468321,4253458899,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",metaphase II,SRX2598414,GSM2514784,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,20,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514784,YNG MII_oocyte,SRP100829,oocyte
SRR5295902,advanced maternal age,RNA-Seq,200,5295540200,PRJNA377237,SAMN06468320,3489681454,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",germinal vesicle,SRX2598415,GSM2514785,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,40,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514785,AMA GV_oocyte,SRP100829,oocyte
SRR5295903,advanced maternal age,RNA-Seq,200,6491540600,PRJNA377237,SAMN06468319,4258252570,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",metaphase II,SRX2598416,GSM2514786,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,40,Homo sapiens,ILLUMINA,2018-04-13T00:00:00Z,GSM2514786,AMA MII_oocyte,SRP100829,oocyte
