SAMPLE,A-to-G proportion (%)
GSM3928482,81.9362511893435
GSM3928572,80.4085645095548
GSM3928573,79.9829226640644
GSM3928364,81.2661795065046
GSM3928485,82.2251880611502
GSM3928363,80.4603072609381
GSM3928367,82.9366480683664
GSM3928369,81.0187611361493
GSM3928365,81.5746084089036
GSM3928483,84.7722782850125
GSM3928577,82.4421526995407
GSM3928575,84.7614761476148
GSM2706238,79.1448007774539
GSM3928571,81.2885079024913
GSM896809,82.8593588417787
GSM3928370,79.9700184501845
GSM2706237,79.5068363234016
GSM3928366,82.9744759731926
GSM3928578,81.1583722306226
GSM1833291,84.1527589836115
GSM1160122,81.223083548665
GSM2706260,84.3347639484979
GSM3928479,81.5591144606689
GSM3928481,82.4354838709678
GSM1160120,82.6672653794342
GSM2706261,82.0849005910801
GSM2706262,83.6771206061882
GSM3928570,81.036786318696
GSM896810,82.6932309169467
GSM3928486,81.8635607321131
GSM896812,80.3676643884044
GSM3928368,80.891256962945
GSM3928484,84.8858392033034
GSM896813,82.2607722439843
GSM1160121,84.5247877293892
GSM896811,82.4266590714896
GSM3928362,81.0156320592753
GSM896814,82.0822162645219
GSM3928480,82.2969563412219
GSM1833290,82.2621478154349
GSM3928579,81.0267698643755
GSM3928371,79.7900763358779
GSM1833288,82.139725226542
GSM3928576,81.5756282138353
GSM3928574,81.8625237105952
GSM2706263,83.7821663674447
GSM1833289,85.3960396039604
GSM2706239,80.5308422301305
GSM1861614,86.4059590316574
GSM1861615,87.3936968484242
GSM922155,76.8833087149188
GSM3928589,78.9334435717239
GSM922153,78.9460784313726
GSM3928386,78.8881948782011
GSM3928387,78.9754535752401
GSM3928381,74.5975908751732
GSM3928587,79.2121373436252
GSM3928588,79.5691150954309
GSM922150,75.3171247357294
GSM922149,76.8378063010502
GSM3928375,80.0744057002333
GSM3928582,77.1177860276747
GSM922148,76.6170875129713
GSM3928489,79.002398671505
GSM3928389,77.7723537547799
GSM922146,76.7591059602649
GSM922156,80.1423754215062
GSM3928496,81.0138731349795
GSM3928392,76.6232783411533
GSM3928490,79.9079483094353
GSM922157,77.9488394126007
GSM1833295,74.9021799888206
GSM3928376,79.1398737537609
GSM3928494,81.5749467923381
GSM3928580,81.3201233514861
GSM3928585,80.495385194952
GSM3928372,78.3290797177601
GSM3928384,77.4406332453826
GSM3928388,77.6722978023621
GSM3928391,76.979374584165
GSM3928385,78.5390910673864
GSM1833296,72.7141382868937
GSM3928390,77.462792345854
GSM1833292,77.3175542406312
GSM3928488,80.953472381389
GSM922152,80.2477632484515
GSM1160124,85.1510685335299
GSM3928492,79.4186729301233
GSM3928491,79.0566672271734
GSM3928383,78.2619359058208
GSM3928487,80.0837464504019
GSM3928495,80.6525873285957
GSM3928377,78.9365250662219
GSM3928382,77.1559789079776
GSM3928590,78.1486017554603
GSM3928586,78.6057692307692
GSM3928493,79.49435491653
GSM922147,78.9811949535825
GSM3928581,81.4465175053891
GSM3928583,78.0814512253724
GSM922151,77.5437636761488
GSM3928380,79.4924642535102
GSM3928373,78.4035895619318
GSM3928374,77.1702682563338
GSM922154,79.7227507474857
GSM3928378,80.5584826132771
GSM3928379,78.7077079623506
GSM3928584,81.2067061540006
GSM1160126,80.1315428884626
GSM1833294,75.2336448598131
GSM1160123,81.7134478424801
GSM1160125,85.6015779092702
GSM2706241,77.7507809788268
GSM2706240,80.6831566548881
GSM922176,69.4789081885856
GSM3928397,77.846008502598
GSM922167,77.2289660946003
GSM3928393,77.519244226732
GSM3928598,80.1026570048309
GSM3928508,71.0703592814371
GSM3928602,77.8146989835809
GSM3928603,74.8124112756033
GSM3928596,70.8705302096178
GSM3928507,75.3384476534296
GSM922175,73.6490250696379
GSM3928413,79.4136291600634
GSM3928609,76.1533665835411
GSM2706265,77.4914675767918
GSM3928498,79.7840325721367
GSM922165,65.9919028340081
GSM1833298,74.7822480298631
GSM3928415,80.6472081218274
GSM3928395,77.473716759431
GSM3928410,75.968992248062
GSM3928411,78.9716393820613
GSM3928500,77.4986638161411
GSM3928407,78.9100817438692
GSM922174,74.5069393718042
GSM3928503,78.2656908405411
GSM3928499,81.2849162011173
GSM922166,78.0294117647059
GSM2706267,75.9110088224012
GSM3928601,78.3521809369952
GSM3928424,74.3400211193242
GSM3928605,75.4182540997184
GSM3928419,75.879640863868
GSM3928592,76.5934654525978
GSM3928509,74.2472871771359
GSM3928412,77.7520576131687
GSM3928414,80.2688728024819
GSM3928504,78.8770053475936
GSM922161,68.988173455979
GSM3928406,78.8792141102925
GSM3928402,77.8613771089831
GSM3928512,73.2558139534884
GSM922177,73.5446685878963
GSM3928606,74.6042003231018
GSM3928398,79.6636085626911
GSM3928600,79.2034097589653
GSM3928519,68.3708248125426
GSM3928404,82.2098327420172
GSM3928497,78.6012782694199
