,dataset,name,count.5.prime.UTR,count.3.prime.UTR,count.CDS,count.intron
0,200902-GSE101571-full-100-100,GSM2706237,12353,182500,6960,809135
1,200902-GSE101571-full-100-100,GSM2706238,10789,162951,6371,531676
2,200902-GSE101571-full-100-100,GSM2706241,10736,170463,6056,569577
3,200902-GSE101571-full-100-100,GSM2706244,15073,247711,8017,3053614
4,200902-GSE101571-full-100-100,GSM2706245,14724,245512,8165,2985469
5,200902-GSE101571-full-100-100,GSM2706260,14567,277495,8163,2595018
6,200902-GSE101571-full-100-100,GSM2706261,7734,151682,4076,630636
7,200902-GSE101571-full-100-100,GSM2706262,9302,179692,4731,814472
8,200902-GSE101571-full-100-100,GSM2706263,6472,137963,4571,269493
9,200902-GSE101571-full-100-100,GSM2706264,19886,258565,9002,3504604
10,200902-GSE101571-full-100-100,GSM2706265,13176,193618,5959,2401794
11,200902-GSE101571-full-100-100,GSM2706266,11210,157143,4732,1680063
12,200902-GSE101571-full-100-100,GSM2706267,9580,149945,4922,1283394
13,200902-GSE101571-full-125-125,GSM2706233,7684,196259,5877,957763
14,200902-GSE101571-full-125-125,GSM2706234,10097,228005,7435,1387207
15,200902-GSE101571-full-125-125,GSM2706235,7520,166431,4185,593903
16,200902-GSE101571-full-125-125,GSM2706236,7125,154230,4028,508635
17,200902-GSE101571-full-125-125,GSM2706239,9803,176477,6406,549722
18,200902-GSE101571-full-125-125,GSM2706240,7819,142859,4781,411014
19,200902-GSE101571-full-125-125,GSM2706242,6763,85221,4157,407384
20,200902-GSE101571-full-125-125,GSM2706243,9618,127145,5223,792680
21,200902-GSE101571-full-150-150,GSM3081010,8323,225153,4932,1677685
22,200902-GSE101571-full-150-150,GSM3081011,2721,117127,1978,453571
23,200919-GSE71318-full48-101-101,GSM1985628,758,69843,715,80384
24,200919-GSE71318-full48-101-101,GSM1985629,598,79969,1194,106294
25,200919-GSE71318-full48-101-101,GSM1985630,635,63186,507,49782
26,200919-GSE71318-full48-101-101,GSM1985631,1284,109856,1347,164326
27,200919-GSE71318-full48-101-101,GSM2151860,2753,145395,2340,166492
28,200919-GSE71318-full48-101-101,GSM2151861,2717,163546,2684,214080
29,200919-GSE71318-full48-101-101,GSM2151862,3093,167801,2585,221925
30,200919-GSE71318-full48-125-125,GSM1833279,4390,100534,2910,147655
31,200919-GSE71318-full48-125-125,GSM1833280,4554,115071,2629,182974
32,200919-GSE71318-full48-125-125,GSM1833281,6909,164165,4028,350919
33,200919-GSE71318-full48-125-125,GSM1833282,7482,162507,4048,362315
34,200919-GSE71318-full48-125-125,GSM1833283,3847,104964,2553,162734
35,200919-GSE71318-full48-125-125,GSM1833284,3746,112235,2939,165004
36,200919-GSE71318-full48-125-125,GSM1833285,7010,174390,4715,407866
37,200919-GSE71318-full48-125-125,GSM1833286,5793,144762,3940,266282
38,200919-GSE71318-full48-125-125,GSM1833287,6367,161242,4171,375501
39,200919-GSE71318-full48-125-125,GSM1833288,2921,87975,2345,130826
40,200919-GSE71318-full48-125-125,GSM1833289,2986,78169,1981,100618
41,200919-GSE71318-full48-125-125,GSM1833290,5683,150299,3818,321088
42,200919-GSE71318-full48-125-125,GSM1833291,5691,142554,3962,301397
43,200919-GSE71318-full48-125-125,GSM1833292,4055,84193,2263,464065
44,200919-GSE71318-full48-125-125,GSM1833294,3499,71214,1903,390352
45,200919-GSE71318-full48-125-125,GSM1833295,7949,139928,4010,1296592
46,200919-GSE71318-full48-125-125,GSM1833296,5792,122165,3552,765270
47,200919-GSE71318-full48-125-125,GSM1833297,3584,71878,1828,384077
48,200919-GSE71318-full48-125-125,GSM1833298,3400,85691,2398,428271
49,200919-GSE71318-full48-125-125,GSM1833300,4948,98521,2781,511747
50,200919-GSE71318-full48-125-125,GSM1833302,6800,167311,4698,862603
51,200919-GSE71318-full48-125-125,GSM1833304,7515,166044,5266,920611
52,200919-GSE71318-full48-125-125,GSM1833307,2803,78793,2805,180078
53,200919-GSE71318-full48-125-125,GSM1833309,3252,91338,3010,370633
54,200919-GSE71318-full48-125-125,GSM1833312,4832,125953,4190,551703
55,200919-GSE71318-full48-125-125,GSM1833314,5480,143950,3894,786116
56,200919-GSE71318-full48-125-125,GSM1833316,3438,116722,4008,223611
57,200919-GSE71318-full48-125-125,GSM1833318,2182,77448,1682,131930
58,200919-GSE71318-full48-125-125,GSM1833321,6981,164833,5613,1195328
59,200919-GSE71318-full48-125-125,GSM1833323,4612,163748,4393,518700
60,200919-GSE71318-full48-125-125,GSM1833324,3348,131556,2860,344279
61,200919-GSE71318-full48-125-125,GSM1833325,9987,226956,6740,1556367
62,200919-GSE71318-full48-125-125,GSM1833326,2891,109844,2618,294230
63,200919-GSE71318-full48-125-125,GSM1833327,493,43369,839,78685
64,200919-GSE71318-full48-125-125,GSM1833328,6266,193219,5095,885103
65,200919-GSE71318-full48-125-125,GSM1833329,7209,207675,6054,1266776
66,200919-GSE71318-full48-125-125,GSM1833330,7940,203329,5652,1461915
67,200919-GSE71318-full48-125-125,GSM1833331,8262,216189,6310,1560459
68,200919-GSE71318-full48-125-125,GSM1833332,9876,233121,6786,1926373
69,200919-GSE71318-full48-125-125,GSM1833333,9060,223140,5785,1603468
70,200919-GSE71318-full48-125-125,GSM1833334,7939,211128,5240,1437626
71,200924-GSE133854-all296-90-90,GSM3928346,3243,71222,1603,140310
72,200924-GSE133854-all296-90-90,GSM3928347,1956,43825,972,94833
73,200924-GSE133854-all296-90-90,GSM3928348,5008,106659,2937,245933
74,200924-GSE133854-all296-90-90,GSM3928349,4899,101961,2763,229749
75,200924-GSE133854-all296-90-90,GSM3928350,9943,208056,6401,625050
76,200924-GSE133854-all296-90-90,GSM3928351,6455,109216,3550,259690
77,200924-GSE133854-all296-90-90,GSM3928352,3122,85009,1910,190423
