gse,gsm,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line,srr.count,srr.mean.avgspotlen,srr.total.bytes,srr.total.bases,srr.total.avgreadcount
GSE101571,GSM2706233,oocyte.GV,TRUE,,,25~30,,,1,250,2422036341,5715002750,22860011
GSE101571,GSM2706234,oocyte.GV,TRUE,,,25~30,,,1,250,2543548238,5763541750,23054167
GSE101571,GSM2706235,oocyte.MII,TRUE,,,25~30,,,1,250,2398616560,5690100500,22760402
GSE101571,GSM2706236,oocyte.MII,TRUE,,,25~30,,,1,250,2863101299,6646400750,26585603
GSE101571,GSM2706237,2-cell,TRUE,,,25~30,,,2,200,6195605358,8855183600,44275918
GSE101571,GSM2706238,2-cell,TRUE,,,25~30,,,2,200,5176577851,7361412800,36807064
GSE101571,GSM2706239,2-cell_3PN,TRUE,,,25~30,,,1,250,3549640728,6648811750,26595247
GSE101571,GSM2706240,4-cell_3PN,TRUE,,,25~30,,,1,250,2486820068,4599867500,18399470
GSE101571,GSM2706241,4-cell_3PN,TRUE,,,25~30,,,2,200,5534714830,7834024000,39170120
GSE101571,GSM2706242,8-cell,TRUE,,,25~30,,,1,250,1291102031,2395511000,9582044
GSE101571,GSM2706243,8-cell,TRUE,,,25~30,,,1,250,2009361254,3735242500,14940970
GSE101571,GSM2706244,ICM,TRUE,,,25~30,,,2,200,4391316753,5908838400,29544192
GSE101571,GSM2706245,ICM,TRUE,,,25~30,,,2,200,3748495836,5389221200,26946106
GSE101571,GSM2706260,2-cell,TRUE,,control,25~30,,,2,200,2343974907,4903263000,24516315
GSE101571,GSM2706261,2-cell,TRUE,,control,25~30,,,2,200,2753645091,5806618600,29033093
GSE101571,GSM2706262,2-cell,FALSE,,amanitin,25~30,,,2,200,2352383744,4891402800,24457014
GSE101571,GSM2706263,2-cell,FALSE,,amanitin,25~30,,,4,200,911776252,1866886800,9334434
GSE101571,GSM2706264,8-cell,TRUE,,control,25~30,,,2,200,3322946348,6957907000,34789535
GSE101571,GSM2706265,8-cell,TRUE,,control,25~30,,,2,200,2760578962,5734665000,28673325
GSE101571,GSM2706266,8-cell,FALSE,,amanitin,25~30,,,2,200,2962367352,6207218200,31036091
GSE101571,GSM2706267,8-cell,FALSE,,amanitin,25~30,,,2,200,2674301803,5615500800,28077504
