gse,gsm,srr,srr.avgspotlen,srr.bytes,srr.bases,srr.avgreadcount,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line
GSE101571,GSM2706233,SRR5837345,250,2422036341,5715002750,22860011,oocyte.GV,TRUE,,,25~30,,
GSE101571,GSM2706234,SRR5837346,250,2543548238,5763541750,23054167,oocyte.GV,TRUE,,,25~30,,
GSE101571,GSM2706235,SRR5837347,250,2398616560,5690100500,22760402,oocyte.MII,TRUE,,,25~30,,
GSE101571,GSM2706236,SRR5837348,250,2863101299,6646400750,26585603,oocyte.MII,TRUE,,,25~30,,
GSE101571,GSM2706237,SRR5837349,200,3062591398,4379896400,21899482,2-cell,TRUE,,,25~30,,
GSE101571,GSM2706237,SRR5837350,200,3133013960,4475287200,22376436,2-cell,TRUE,,,25~30,,
GSE101571,GSM2706238,SRR5837351,200,2552514316,3631092400,18155462,2-cell,TRUE,,,25~30,,
GSE101571,GSM2706238,SRR5837352,200,2624063535,3730320400,18651602,2-cell,TRUE,,,25~30,,
GSE101571,GSM2706239,SRR5837353,250,3549640728,6648811750,26595247,2-cell_3PN,TRUE,,,25~30,,
GSE101571,GSM2706240,SRR5837354,250,2486820068,4599867500,18399470,4-cell_3PN,TRUE,,,25~30,,
GSE101571,GSM2706241,SRR5837355,200,2727243731,3861637800,19308189,4-cell_3PN,TRUE,,,25~30,,
GSE101571,GSM2706241,SRR5837356,200,2807471099,3972386200,19861931,4-cell_3PN,TRUE,,,25~30,,
GSE101571,GSM2706242,SRR5837357,250,1291102031,2395511000,9582044,8-cell,TRUE,,,25~30,,
GSE101571,GSM2706243,SRR5837358,250,2009361254,3735242500,14940970,8-cell,TRUE,,,25~30,,
GSE101571,GSM2706244,SRR5837359,200,2005303303,2703061600,13515308,ICM,TRUE,,,25~30,,
GSE101571,GSM2706244,SRR5837360,200,2386013450,3205776800,16028884,ICM,TRUE,,,25~30,,
GSE101571,GSM2706245,SRR5837361,200,1854015776,2672004200,13360021,ICM,TRUE,,,25~30,,
GSE101571,GSM2706245,SRR5837362,200,1894480060,2717217000,13586085,ICM,TRUE,,,25~30,,
GSE101571,GSM2706260,SRR5837386,200,1144198153,2399240800,11996204,2-cell,TRUE,,control,25~30,,
GSE101571,GSM2706260,SRR5837387,200,1199776754,2504022200,12520111,2-cell,TRUE,,control,25~30,,
GSE101571,GSM2706261,SRR5837388,200,1344283048,2840875000,14204375,2-cell,TRUE,,control,25~30,,
GSE101571,GSM2706261,SRR5837389,200,1409362043,2965743600,14828718,2-cell,TRUE,,control,25~30,,
GSE101571,GSM2706262,SRR5837390,200,1151426243,2401577000,12007885,2-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706262,SRR5837391,200,1200957501,2489825800,12449129,2-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706263,SRR5837392,200,234876533,494453200,2472266,2-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706263,SRR5837393,200,246946047,517552000,2587760,2-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706263,SRR5837394,200,210736130,420199600,2100998,2-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706263,SRR5837395,200,219217542,434682000,2173410,2-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706264,SRR5837396,200,1621786684,3401109200,17005546,8-cell,TRUE,,control,25~30,,
GSE101571,GSM2706264,SRR5837397,200,1701159664,3556797800,17783989,8-cell,TRUE,,control,25~30,,
GSE101571,GSM2706265,SRR5837398,200,1346757960,2803290800,14016454,8-cell,TRUE,,control,25~30,,
GSE101571,GSM2706265,SRR5837399,200,1413821002,2931374200,14656871,8-cell,TRUE,,control,25~30,,
GSE101571,GSM2706266,SRR5837400,200,1445222381,3033595200,15167976,8-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706266,SRR5837401,200,1517144971,3173623000,15868115,8-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706267,SRR5837402,200,1306257066,2749289200,13746446,8-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM2706267,SRR5837403,200,1368044737,2866211600,14331058,8-cell,FALSE,,amanitin,25~30,,
GSE101571,GSM3081010,SRR6940544,300,2323893839,5846847300,19489491,hESC,TRUE,,,25~30,,H1 or H7
GSE101571,GSM3081011,SRR6940545,300,2000240298,4957288800,16524296,hESC,TRUE,,,25~30,,H1 or H7
GSE71318,GSM1833279,SRR2130085,250,1218936099,2426018250,9704073,oocyte.MII,TRUE,,,,,
GSE71318,GSM1833280,SRR2130086,250,1449067269,2915951750,11663807,oocyte.MII,TRUE,,,,,
GSE71318,GSM1833281,SRR2130087,250,2236118742,4260852000,17043408,oocyte.MII,TRUE,,,,,
GSE71318,GSM1833282,SRR2130088,250,2647103000,5076191000,20304764,oocyte.MII,TRUE,,,,,
GSE71318,GSM1833283,SRR2130089,250,1514338463,2940412750,11761651,zygote,TRUE,,,,,
GSE71318,GSM1833284,SRR2130090,250,1690770708,3243642250,12974569,zygote,TRUE,,,,,
GSE71318,GSM1833285,SRR2130091,250,2576044576,4952469750,19809879,zygote,TRUE,,,,,
GSE71318,GSM1833286,SRR2130092,250,2609183813,5038864000,20155456,zygote,TRUE,,,,,
GSE71318,GSM1833287,SRR2130093,250,2848397869,5576614250,22306457,zygote,TRUE,,,,,
GSE71318,GSM1833288,SRR2130094,250,1299692426,2562050500,10248202,2-cell,TRUE,,,,,
GSE71318,GSM1833289,SRR2130095,250,794459003,1582320250,6329281,2-cell,TRUE,,,,,
GSE71318,GSM1833290,SRR2130096,250,3165348149,5870198000,23480792,2-cell,TRUE,,,,,
GSE71318,GSM1833291,SRR2130097,250,3068075259,5902606000,23610424,2-cell,TRUE,,,,,
GSE71318,GSM1833292,SRR2130098,250,1332107540,2563384000,10253536,4-cell,TRUE,,,,,
GSE71318,GSM1833294,SRR2130099,250,819948839,1615798500,6463194,4-cell,TRUE,,,,,
GSE71318,GSM1833295,SRR2130100,250,2669705822,5349366250,21397465,4-cell,TRUE,,,,,
GSE71318,GSM1833296,SRR2130101,250,3549349797,7092913500,28371654,4-cell,TRUE,,,,,
GSE71318,GSM1833297,SRR2130102,250,2295470629,4527700250,18110801,8-cell,TRUE,,,,,
GSE71318,GSM1833298,SRR2130103,250,4656408517,9216466750,36865867,8-cell,TRUE,,,,,
GSE71318,GSM1833300,SRR2130104,250,4570486451,8995243500,35980974,8-cell,TRUE,,,,,
GSE71318,GSM1833302,SRR2130105,250,3235710177,6297588000,25190352,8-cell,TRUE,,,,,
GSE71318,GSM1833304,SRR2130106,250,3506519586,6883635250,27534541,8-cell,TRUE,,,,,
GSE71318,GSM1833307,SRR2130107,250,1455198149,2811394500,11245578,morula,TRUE,,,,,
GSE71318,GSM1833309,SRR2130108,250,1404475158,2705788250,10823153,morula,TRUE,,,,,
GSE71318,GSM1833312,SRR2130109,250,2461304834,4759223250,19036893,morula,TRUE,,,,,
GSE71318,GSM1833314,SRR2130110,250,3610910369,7082077000,28328308,morula,TRUE,,,,,
GSE71318,GSM1833316,SRR2130111,250,1338043661,2666947500,10667790,blastocyst.early,TRUE,,,,,
GSE71318,GSM1833318,SRR2130112,250,1173100042,2229728750,8918915,blastocyst.early,TRUE,,,,,
GSE71318,GSM1833321,SRR2130113,250,2853173856,5723159250,22892637,blastocyst.early,TRUE,,,,,
GSE71318,GSM1833323,SRR2130114,250,1623749878,3259790500,13039162,blastocyst.middle,TRUE,,,,,
GSE71318,GSM1833324,SRR2130115,250,1212020003,2362892000,9451568,blastocyst.middle,TRUE,,,,,
GSE71318,GSM1833325,SRR2130116,250,2959725341,5858039500,23432158,blastocyst.middle,TRUE,,,,,
GSE71318,GSM1833326,SRR2130117,250,1458359674,2900454750,11601819,blastocyst.late,TRUE,,,,,
GSE71318,GSM1833327,SRR2130118,250,1250386935,2445846000,9783384,blastocyst.late,TRUE,,,,,
GSE71318,GSM1833328,SRR2130119,250,2648023962,5341773250,21367093,blastocyst.late,TRUE,,,,,
GSE71318,GSM1833329,SRR2130120,250,2392880657,4854406250,19417625,ICM,TRUE,,,,,
GSE71318,GSM1833330,SRR2130121,250,2608650080,5069017250,20276069,ICM,TRUE,,,,,
GSE71318,GSM1833331,SRR2130122,250,2844851084,5413793500,21655174,ICM,TRUE,,,,,
GSE71318,GSM1833332,SRR2130123,250,2615222931,5056360500,20225442,TE,TRUE,,,,,
GSE71318,GSM1833333,SRR2130124,250,2391291121,4524292750,18097171,TE,TRUE,,,,,
GSE71318,GSM1833334,SRR2130125,250,2316187923,4358000000,17432000,TE,TRUE,,,,,
GSE71318,GSM1985628,SRR3062171,202,1828901308,2697867156,13355778,hESC,TRUE,,ten hESCs with 51 passages,,,customized.ten_hESCs
GSE71318,GSM1985629,SRR3062172,202,1720986990,2523215330,12491165,hESC,TRUE,,ten hESCs with 51 passages,,,customized.ten_hESCs
GSE71318,GSM1985630,SRR3062173,202,1445593731,2121489042,10502421,hESC,TRUE,,ten hESCs with 51 passages,,,customized.ten_hESCs
GSE71318,GSM1985631,SRR3062174,202,2177795664,3223787286,15959343,hESC,TRUE,,ten hESCs with 51 passages,,,customized.ten_hESCs
GSE71318,GSM2151860,SRR3501436,202,768019746,1272569902,6299851,hESC,TRUE,,1ug hESCs RNA with 51 passages,,,customized.1ug_hESCSs_RNA
GSE71318,GSM2151861,SRR3501437,202,849661356,1406214718,6961459,hESC,TRUE,,1ug hESCs RNA with 51 passages,,,customized.1ug_hESCSs_RNA
GSE71318,GSM2151862,SRR3501438,202,968377985,1607914546,7959973,hESC,TRUE,,1ug hESCs RNA with 51 passages,,,customized.1ug_hESCSs_RNA
GSE133854,GSM3928482,SRR9645803,300,8705952051,21960830700,73202769,2-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928483,SRR9645804,300,2381347361,6168328800,20561096,2-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928484,SRR9645805,300,2416152332,6188924700,20629749,2-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928485,SRR9645806,300,2357356307,6085938600,20286462,2-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928486,SRR9645807,300,2364175593,6160430700,20534769,2-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928487,SRR9645808,180,5600120105,7496681220,41648229,4-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928488,SRR9645809,180,3447526968,4267006380,23705591,4-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928489,SRR9645810,180,6440409593,8451455760,46952532,4-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928490,SRR9645811,180,6635319697,8589132720,47717404,4-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928491,SRR9645812,300,2181352713,5593650300,18645501,4-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928492,SRR9645813,300,2226715190,5654265600,18847552,4-cell,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928493,SRR9645814,300,1993135992,5028603300,16762011,4-cell,FALSE,androgenetic,,24~35 with mean 28,,
